"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000018508","Buckleria paludum","mature",1,5,30,9
"NBNORG0000041011","Agdistis meridionalis","mature",1,4,30,9
"NBNORG0000041952","Hellinsia carphodactyla","mature",1,5,30,9
"NBNORG0000041953","Hellinsia tephradactyla","mature",1,5,31,8
"NBNORG0000042135","Hellinsia chrysocomae","mature",1,6,30,9
"NBNORG0000042136","Hellinsia osteodactylus","mature",1,6,30,9
"NBNORG0000042489","Merrifieldia baliodactylus","mature",1,6,31,8
"NBNORG0000042490","Merrifieldia tridactyla","mature",1,5,30,9
"NBNORG0000042709","Hellinsia lienigianus","mature",1,6,31,8
"NBNORG0000043331","Stenoptilia gallobritannidactyla","mature",1,6,31,7
"NBNORG0000043332","Stenoptilia islandicus","mature",1,6,31,7
"NBNORG0000043333","Stenoptilia millieridactyla","mature",1,5,30,9
"NBNORG0000057289","Adaina microdactyla","mature",1,4,30,9
"NBNORG0000057315","Agdistis bennetii","mature",1,5,30,9
"NBNORG0000057488","Cnaemidophorus rhododactyla","mature",1,6,31,8
"NBNORG0000057640","Capperia britanniodactylus","mature",1,6,31,8
"NBNORG0000058461","Marasmarcha lunaedactyla","mature",1,5,31,8
"NBNORG0000058474","Merrifieldia leucodactyla","mature",1,5,30,9
"NBNORG0000058613","Oidaematophorus lithodactyla","mature",1,6,30,9
"NBNORG0000058648","Oxyptilus distans","mature",1,5,30,9
"NBNORG0000058649","Oxyptilus laetus","mature",1,5,31,10
"NBNORG0000058650","Oxyptilus parvidactyla","mature",1,5,31,8
"NBNORG0000058651","Oxyptilus pilosellae","mature",1,7,31,8
"NBNORG0000058820","Platyptilia calodactyla","mature",1,6,31,8
"NBNORG0000058821","Platyptilia gonodactyla","mature",1,5,31,10
"NBNORG0000058822","Platyptilia isodactylus","mature",1,5,30,9
"NBNORG0000058823","Gillmeria ochrodactyla","mature",1,6,31,8
"NBNORG0000058824","Gillmeria pallidactyla","mature",1,5,31,8
"NBNORG0000058857","Pselnophorus heterodactyla","mature",1,6,31,7
"NBNORG0000058876","Porrittia galactodactyla","mature",1,5,31,7
"NBNORG0000058877","Pterophorus pentadactyla","mature",1,5,31,8
"NBNORG0000058878","Wheeleria spilodactylus","mature",1,6,31,8
"NBNORG0000059021","Stenoptilia bipunctidactyla","mature",1,5,30,9
"NBNORG0000059023","Stenoptilia pterodactyla","mature",1,5,30,9
"NBNORG0000059024","Stenoptilia zophodactylus","mature",1,5,30,11
"NBNORG0000099287","Stenoptilia annadactyla","mature",1,6,31,8
"NBNORG0000108491","Stenoptilia scabiodactylus","mature",1,5,31,8
