"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000029266","Acrothrix gracilis","*",1,6,30,9
"NBNORG0000029524","Arthrocladia villosa","*",1,6,30,9
"NBNORG0000029979","Corynophlaea crispa","*",1,4,30,9
"NBNORG0000031161","Myrionema papillosum","*",1,7,31,10
"NBNORG0000032085","Spermatochnus paradoxus","*",1,5,30,9
"NBNORG0000032169","Stictyosiphon soriferus","*",1,4,30,9
"NBNORG0000033984","Cladosiphon contortus","*",1,6,30,9
"NBNORG0000037138","Myriactula chordae","*",1,5,30,9
"NBNORG0000037139","Myriactula haydenii","*",1,6,30,9
"NBNORG0000037140","Myriactula stellulata","*",1,6,30,9
"NBNORG0000037146","Myrionema magnusii","*",1,5,30,9
"NBNORG0000040646","Pyropia leucosticta","*",1,4,30,9
"NBNORG0000040647","Porphyra linearis","*",1,11,30,4
"NBNORG0000052860","Erythropeltis discigera var. flustrae","*",1,4,30,11
"NBNORG0000052885","Sauvageaugloia divaricata","*",1,6,30,9
"NBNORG0000064008","Anotrichium barbatum","*",1,5,31,10
"NBNORG0000064009","Anotrichium furcellatum","*",1,9,30,11
"NBNORG0000064118","Cladosiphon zosterae","*",1,6,30,9
"NBNORG0000064137","Compsonema microspongium","*",1,6,30,11
"NBNORG0000064251","Myriactula areschougii","*",1,6,31,10
"NBNORG0000064253","Myriactula rivulariae","*",1,7,30,9
"NBNORG0000064333","Porphyra amplissima","*",1,5,30,11
"NBNORG0000064419","Helminthora divaricata","*",1,6,30,9
"NBNORG0000064557","Stictyosiphon griffithsianus","*",1,5,30,9
"NBNORG0000064559","Stilophora tenella","*",1,6,30,9
"NBNORG0000115183","Compsonema saxicola","*",1,4,31,10
"NBNORG0000124337","Pyropia drachii","*",1,6,31,8
