"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000091559","Harpocera thoracica","mature",1,5,30,9
"NBNORG0000091563","Loricula pselaphiformis","mature",1,6,31,10
"NBNORG0000091568","Stenotus binotatus","mature",1,6,31,8
"NBNORG0000094735","Acetropis (Acetropis) gimmerthalii","mature",1,5,30,9
"NBNORG0000094743","Adelphocoris lineolatus","mature",1,7,31,10
"NBNORG0000094744","Adelphocoris seticornis","mature",1,7,30,9
"NBNORG0000094745","Adelphocoris ticinensis","mature",1,7,31,8
"NBNORG0000094760","Alloeotomus gothicus","mature",1,6,31,10
"NBNORG0000094764","Amblytylus brevicollis","mature",1,6,31,8
"NBNORG0000094765","Amblytylus delicatus","mature",1,6,31,8
"NBNORG0000094766","Amblytylus nasutus","mature",1,5,31,8
"NBNORG0000094813","Asciodema obsoleta","mature",1,6,30,9
"NBNORG0000094816","Atractotomus magnicornis","mature",1,6,30,9
"NBNORG0000094817","Atractotomus mali","mature",1,5,30,9
"NBNORG0000094818","Atractotomus parvulus","mature",1,6,30,9
"NBNORG0000094836","Blepharidopterus angulatus","mature",1,6,31,10
"NBNORG0000094837","Blepharidopterus diaphanus","mature",1,7,30,9
"NBNORG0000094842","Bothynotus pilosus","mature",1,6,31,10
"NBNORG0000094844","Brachyarthrum limitatum","mature",1,5,31,7
"NBNORG0000094848","Brachynotocoris puncticornis","mature",1,8,31,8
"NBNORG0000094854","Bryocoris pteridis","mature",1,6,31,10
"NBNORG0000094862","Calocoris (Calocoris) alpestris","mature",1,6,31,7
"NBNORG0000094863","Calocoris (Calocoris) roseomaculatus","mature",1,6,31,10
"NBNORG0000094865","Closterotomus fulvomaculatus","mature",1,6,31,8
"NBNORG0000094868","Grypocoris (Lophyromiris) stysi","mature",1,5,30,9
"NBNORG0000094871","Camptozygum aequale","mature",1,6,30,9
"NBNORG0000094873","Campylomma annulicorne","mature",1,5,30,9
"NBNORG0000094874","Campylomma verbasci","mature",1,6,31,10
"NBNORG0000094876","Campyloneura virgula","mature",1,7,31,10
"NBNORG0000094882","Capsodes flavomarginatus","mature",1,6,31,8
"NBNORG0000094883","Capsodes gothicus","mature",1,6,31,8
"NBNORG0000094884","Capsodes sulcatus","mature",1,6,31,8
"NBNORG0000094886","Capsus ater","mature",1,7,31,8
"NBNORG0000094887","Capsus wagneri","mature",1,6,31,8
