"tvk","value_code","taxon"
"NBNSYS0000002123","2","Zostera marina"
"NBNSYS0000005133","1","Lutra lutra"
"NBNSYS0000005135","2","Phoca vitulina"
"NBNSYS0000005137","2","Halichoerus grypus"
"NBNSYS0000005159","1","Megaptera novaeangliae"
"NBNSYS0000005160","1","Balaenoptera physalus"
"NBNSYS0000005162","2","Balaenoptera borealis"
"NBNSYS0000005163","1","Balaenoptera musculus"
"NBNSYS0000005165","2","Kogia breviceps"
"NBNSYS0000005166","2","Hyperoodon ampullatus"
"NBNSYS0000005168","1","Mesoplodon bidens"
"NBNSYS0000005169","2","Mesoplodon mirus"
"NBNSYS0000005172","1","Phocoena phocoena"
"NBNSYS0000005173","1","Orcinus orca"
"NBNSYS0000005174","2","Pseudorca crassidens"
"NBNSYS0000005179","2","Tursiops truncatus"
"NBNSYS0000005181","2","Delphinus delphis"
"NBNSYS0000008599","3","Limnoria quadripunctata"
"NBNSYS0000008600","3","Limnoria tripunctata"
"NBNSYS0000013794","3","Corophium lacustre"
"NBNSYS0000013797","3","Gammarus chevreuxi"
"NBNSYS0000013802","3","Gammarus insensibilis"
"NBNSYS0000013803","3","Orchestia cavimana"
"NBNSYS0000022288","3","Cordylophora caspia"
"NBNSYS0000022291","5","Edwardsia ivelli"
"NBNSYS0000022292","3","Nematostella vectensis"
"NBNSYS0000022319","4","Victorella pavida"
"NBNSYS0000022322","3","Farrella repens"
"NBNSYS0000022324","2","Truncatella subcylindrica"
"NBNSYS0000022325","4","Caecum armoricum"
"NBNSYS0000022326","4","Tenellia adspersa"
"NBNSYS0000022327","4","Armandia cirrhosa"
"NBNSYS0000033002","4","Balanus improvisus"
"NBNSYS0000033149","3","Gammarus tigrinus"
"NBNSYS0000040771","2","Eunicella verrucosa"
"NBNSYS0000040773","4","Thyasira gouldi"
"NBNSYS0000040786","2","Atrina fragilis"
"NBNSYS0000040787","1","Cetorhinus maximus"
"NBNSYS0000040791","3","Gobius gasteveni"
"NBNSYS0000040792","2","Hippocampus hippocampus"
"NBNSYS0000163066","1","Physeter macrocephalus"
"NBNSYS0000173547","1","Acanthocardia aculeata"
"NBNSYS0000173612","4","Adreus fascicularis"
"NBNSYS0000173622","2","Aeolidiella alderi"
"NBNSYS0000173624","3","Aeolidiella sanguinea"
"NBNSYS0000173638","2","Aglaophenia kirchenpaueri"
"NBNSYS0000173699","2","Amalosoma eddystonense"
"NBNSYS0000173703","3","Amathia pruvoti"
"NBNSYS0000173710","4","Ammodytes marinus"
"NBNSYS0000173817","2","Anemonactis mazeli"
"NBNSYS0000173845","3","Antedon petasus"
"NBNSYS0000173856","2","Anthopleura thallia"
"NBNSYS0000173892","4","Apletodon dentatus"
