"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000011313","Cicadetta montana","mature",1,5,31,7
"NBNORG0000011314","Doratura impudica","mature",1,6,30,9
"NBNORG0000011315","Jassargus pseudocellaris","mature",1,5,31,10
"NBNORG0000011316","Euscelis venosus","mature",1,7,30,9
"NBNORG0000011317","Erotettix cyane","mature",1,7,30,9
"NBNORG0000011318","Chlorita viridula","mature",1,7,30,9
"NBNORG0000011319","Eurysanoides douglasi","mature",1,5,31,7
"NBNORG0000011320","Ribautodelphax imitans","mature",1,5,31,8
"NBNORG0000041190","Balclutha saltuella","mature",1,6,31,10
"NBNORG0000041196","Batracomorphus irroratus","mature",1,6,30,9
"NBNORG0000041884","Elymana kozhevnikovi","mature",1,7,30,9
"NBNORG0000041993","Eurysella brunnea","mature",1,5,31,7
"NBNORG0000042014","Fieberiella florii","mature",1,7,31,10
"NBNORG0000042707","Ossiannilssonola callosa","mature",1,6,30,9
"NBNORG0000095874","Anoscopus albifrons","mature",1,6,31,10
"NBNORG0000095876","Anoscopus duffieldi","mature",1,6,30,9
"NBNORG0000095970","Agallia brachyptera","mature",1,7,31,10
"NBNORG0000095973","Aphrodes aestuarina","mature",1,7,30,9
"NBNORG0000095974","Planaphrodes trifasciata","mature",1,6,31,10
"NBNORG0000095976","Asiraca clavicornis","mature",1,4,31,10
"NBNORG0000095977","Austroagallia sinuata","mature",1,6,30,9
"NBNORG0000095978","Austroasca vittata","mature",1,5,31,10
"NBNORG0000095982","Calligypona reyi","mature",1,6,30,9
"NBNORG0000095984","Chloriona dorsata","mature",1,5,31,8
"NBNORG0000095985","Chloriona vasconica","mature",1,5,30,9
"NBNORG0000095986","Chlorita dumosa","mature",1,5,31,10
"NBNORG0000095987","Cicadella lasiocarpae","mature",1,6,30,9
"NBNORG0000095989","Criomorphus moestus","mature",1,5,31,7
"NBNORG0000095990","Criomorphus williamsi","mature",1,5,31,7
"NBNORG0000095992","Ebarrius cognatus","mature",1,7,30,9
"NBNORG0000095993","Edwardsiana alnicola","mature",1,6,31,8
"NBNORG0000095994","Edwardsiana ishidai","mature",1,5,31,10
"NBNORG0000095995","Edwardsiana lanternae","mature",1,6,30,9
"NBNORG0000095996","Edwardsiana rosaesugans","mature",1,7,30,9
"NBNORG0000095997","Edwardsiana tersa","mature",1,5,30,9
"NBNORG0000096001","Emelyanoviana contraria","mature",1,8,30,9
"NBNORG0000096004","Eurhadina kirschbaumi","mature",1,6,30,9
"NBNORG0000096005","Eurhadina ribauti","mature",1,5,31,10
"NBNORG0000096007","Eurysula lurida","mature",1,5,30,9
"NBNORG0000096008","Euscelidius schenckii","mature",1,7,31,10
"NBNORG0000096009","Euscelidius variegatus","mature",1,7,31,10
"NBNORG0000096010","Euscelis ohausi","mature",1,6,31,10
"NBNORG0000096012","Florodelphax paryphasma","mature",1,5,30,9
"NBNORG0000096014","Hephathus nanus","mature",1,6,31,8
"NBNORG0000096081","Iassus scutellaris","mature",1,6,31,10
"NBNORG0000096083","Issus muscaeformis","mature",1,5,31,8
"NBNORG0000096085","Kyboasca bipunctata","mature",1,6,30,9
"NBNORG0000096086","Kybos calyculus","mature",1,6,31,8
"NBNORG0000096087","Laodelphax striatella","mature",1,4,31,10
"NBNORG0000096092","Limotettix atricapillus","mature",1,6,30,9
"NBNORG0000096094","Macropsis glandacea","mature",1,6,30,9
"NBNORG0000096096","Macrosteles alpinus","mature",1,7,30,9
"NBNORG0000096097","Macrosteles cristatus","mature",1,5,31,10
"NBNORG0000096098","Macrosteles fieberi","mature",1,5,31,10
"NBNORG0000096099","Macrosteles frontalis","mature",1,5,31,10
"NBNORG0000096100","Macrosteles lividus","mature",1,6,30,9
"NBNORG0000096101","Macrosteles quadripunctulatus","mature",1,5,31,10
"NBNORG0000096102","Macrosteles sordidipennis","mature",1,5,30,9
"NBNORG0000096105","Metalimnus formosus","mature",1,6,31,10
"NBNORG0000096107","Neophilaenus longiceps","mature",1,6,30,9
"NBNORG0000096110","Oncodelphax pullula","mature",1,5,31,8
"NBNORG0000096113","Paradelphacodes paludosa","mature",1,4,30,9
"NBNORG0000096114","Paralimnus phragmitis","mature",1,7,31,10
"NBNORG0000096115","Pediopsis tiliae","mature",1,6,31,8
"NBNORG0000096118","Psammotettix albomarginatus","mature",1,5,31,10
"NBNORG0000096119","Psammotettix maritimus","mature",1,6,30,9
"NBNORG0000096120","Psammotettix nodosus","mature",1,5,31,10
"NBNORG0000096122","Ribautodelphax angulosa","mature",1,5,31,8
"NBNORG0000096123","Ribautodelphax pallens","mature",1,4,31,8
"NBNORG0000096124","Ribautodelphax pungens","mature",1,4,30,9
"NBNORG0000096126","Stenocranus fuscovittatus","mature",1,6,30,9
"NBNORG0000096127","Stiroma bicarinata","mature",1,5,31,8
"NBNORG0000096130","Trigonocranus emmeae","mature",1,5,31,7
"NBNORG0000096132","Xanthodelphax flaveola","mature",1,6,30,9
"NBNORG0000097731","Prokelisia marginata","mature",1,4,31,10
"NBNORG0000101168","Agallia consobrina","mature",1,6,31,10
"NBNORG0000101172","Wagneripteryx germari","mature",1,6,31,10
"NBNORG0000101173","Aguriahana stellulata","mature",1,6,31,10
"NBNORG0000101175","Alebra albostriella","mature",1,6,31,10
"NBNORG0000101176","Alebra coryli","mature",1,6,30,9
"NBNORG0000101177","Alebra wahlbergi","mature",1,5,30,9
"NBNORG0000101179","Allygidius commutatus","mature",1,6,31,10
"NBNORG0000101180","Allygus mixtus","mature",1,6,31,10
"NBNORG0000101181","Allygus modestus","mature",1,6,31,10
"NBNORG0000101182","Alnetoidea alneti","mature",1,5,31,10
"NBNORG0000101184","Anakelisia fasciata","mature",1,7,31,10
"NBNORG0000101185","Anakelisia perspicillata","mature",1,7,31,10
"NBNORG0000101204","Anoscopus albiger","mature",1,6,30,11
"NBNORG0000101205","Aphrodes bicincta","mature",1,6,31,10
"NBNORG0000101206","Planaphrodes bifasciata","mature",1,6,30,9
"NBNORG0000101207","Anoscopus flavostriatus","mature",1,7,30,11
"NBNORG0000101208","Anoscopus histrionicus","mature",1,6,30,9
"NBNORG0000101209","Aphrodes makarovi","mature",1,6,31,10
"NBNORG0000101210","Anoscopus serratulae","mature",1,7,31,10
"NBNORG0000101212","Aphrophora alni","mature",1,6,31,10
"NBNORG0000101213","Aphrophora major","mature",1,7,30,9
"NBNORG0000101214","Aphrophora pectoralis","mature",1,6,30,9
"NBNORG0000101215","Aphrophora salicina","mature",1,6,31,10
"NBNORG0000101220","Arocephalus punctum","mature",1,6,31,10
"NBNORG0000101222","Arthaldeus pascuellus","mature",1,5,31,10
"NBNORG0000101223","Arthaldeus striifrons","mature",1,6,31,10
"NBNORG0000101231","Athysanus argentarius","mature",1,6,30,9
"NBNORG0000101248","Centrotus cornutus","mature",1,5,31,8
"NBNORG0000101250","Cercopis vulnerata","mature",1,5,31,7
"NBNORG0000101253","Chloriona glaucescens","mature",1,5,30,9
"NBNORG0000101254","Chloriona smaragdula","mature",1,5,30,9
"NBNORG0000101255","Chloriona unicolor","mature",1,5,31,8
"NBNORG0000101260","Cicadella viridis","mature",1,7,31,10
"NBNORG0000101263","Cicadula aurantipes","mature",1,7,31,10
"NBNORG0000101264","Cicadula flori","mature",1,6,31,10
"NBNORG0000101265","Cicadula frontalis","mature",1,7,31,10
"NBNORG0000101266","Cicadula intermedia","mature",1,7,31,10
"NBNORG0000101267","Cicadula ornata","mature",1,7,30,9
"NBNORG0000101268","Cicadula persimilis","mature",1,6,31,10
"NBNORG0000101269","Cicadula quadrinotata","mature",1,6,31,10
"NBNORG0000101270","Cicadula quinquenotata","mature",1,7,31,10
"NBNORG0000101271","Cicadula saturata","mature",1,7,31,10
"NBNORG0000101273","Cixius caledonicus","mature",1,5,30,9
"NBNORG0000101274","Cixius cambricus","mature",1,5,30,9
"NBNORG0000101275","Cixius cunicularius","mature",1,5,30,9
"NBNORG0000101276","Cixius distinguendus","mature",1,6,31,10
"NBNORG0000101277","Cixius nervosus","mature",1,5,30,9
"NBNORG0000101278","Cixius remotus","mature",1,5,30,9
"NBNORG0000101279","Cixius (Acanthocixius) similis","mature",1,5,31,8
"NBNORG0000101280","Cixius simplex","mature",1,6,31,10
"NBNORG0000101282","Colladonus torneellus","mature",1,5,31,8
"NBNORG0000101285","Conomelus anceps","mature",1,6,31,10
"NBNORG0000101287","Conosanus obsoletus","mature",1,7,31,10
"NBNORG0000101289","Cosmotettix caudatus","mature",1,6,30,9
"NBNORG0000101290","Cosmotettix costalis","mature",1,6,31,10
"NBNORG0000101291","Cosmotettix panzeri","mature",1,7,31,10
"NBNORG0000101299","Criomorphus albomarginatus","mature",1,5,31,7
"NBNORG0000101308","Delphacinus mesomelas","mature",1,5,30,9
"NBNORG0000101312","Delphax pulchellus","mature",1,6,30,9
"NBNORG0000101314","Deltocephalus maculiceps","mature",1,6,30,9
"NBNORG0000101315","Deltocephalus pulicaris","mature",1,5,31,10
"NBNORG0000101317","Dicranotropis divergens","mature",1,4,31,10
"NBNORG0000101318","Dicranotropis hamata","mature",1,4,31,10
"NBNORG0000101322","Verdanus abdominalis","mature",1,5,31,8
"NBNORG0000101325","Ditropis pteridis","mature",1,5,31,8
"NBNORG0000101327","Doratura stylata","mature",1,6,31,10
"NBNORG0000101338","Edwardsiana avellanae","mature",1,6,31,10
"NBNORG0000101339","Edwardsiana bergmanni","mature",1,6,30,9
"NBNORG0000101340","Edwardsiana candidula","mature",1,5,31,10
"NBNORG0000101341","Edwardsiana crataegi","mature",1,5,31,10
"NBNORG0000101342","Edwardsiana diversa","mature",1,6,31,10
"NBNORG0000101343","Edwardsiana flavescens","mature",1,5,31,10
"NBNORG0000101344","Edwardsiana frustrator","mature",1,5,31,10
"NBNORG0000101345","Edwardsiana geometrica","mature",1,6,31,10
"NBNORG0000101346","Edwardsiana lethierryi","mature",1,6,31,10
"NBNORG0000101347","Edwardsiana nigriloba","mature",1,6,31,8
"NBNORG0000101348","Edwardsiana plebeja","mature",1,6,31,10
"NBNORG0000101349","Edwardsiana prunicola","mature",1,6,31,10
"NBNORG0000101350","Edwardsiana rosae","mature",1,5,31,10
"NBNORG0000101351","Edwardsiana salicicola","mature",1,6,31,10
"NBNORG0000101352","Edwardsiana spinigera","mature",1,6,30,9
"NBNORG0000101354","Elymana sulphurella","mature",1,6,31,10
"NBNORG0000101356","Emelyanoviana mollicula","mature",1,5,31,10
"NBNORG0000101504","Acanthodelphax denticauda","mature",1,4,31,10
"NBNORG0000101507","Adarrus multinotatus","mature",1,5,31,10
"NBNORG0000101508","Errastunus ocellaris","mature",1,5,31,10
"NBNORG0000101518","Empoasca pteridis","mature",1,8,31,10
"NBNORG0000101525","Erythria aureola","mature",1,5,31,10
"NBNORG0000101527","Euconomelus lepidus","mature",1,6,31,10
"NBNORG0000101529","Euides basilinea","mature",1,5,31,8
"NBNORG0000101533","Eupterycyba jucunda","mature",1,6,31,10
"NBNORG0000101535","Eupteryx artemisiae","mature",1,5,31,10
"NBNORG0000101536","Eupteryx atropunctata","mature",1,5,31,10
"NBNORG0000101537","Eupteryx aurata","mature",1,5,31,10
"NBNORG0000101538","Eupteryx cyclops","mature",1,5,31,10
"NBNORG0000101539","Eupteryx filicum","mature",1,6,31,10
"NBNORG0000101540","Eupteryx florida","mature",1,5,31,10
"NBNORG0000101541","Eupteryx heydenii","mature",1,6,30,9
"NBNORG0000101542","Eupteryx melissae","mature",1,5,31,10
"NBNORG0000101543","Eupteryx notata","mature",1,5,31,10
"NBNORG0000101544","Eupteryx origani","mature",1,6,31,10
"NBNORG0000101545","Eupteryx signatipennis","mature",1,6,31,10
"NBNORG0000101546","Eupteryx stachydearum","mature",1,5,31,10
"NBNORG0000101547","Eupteryx tenella","mature",1,5,31,10
"NBNORG0000101548","Eupteryx thoulessi","mature",1,6,31,10
"NBNORG0000101549","Eupteryx urticae","mature",1,5,31,10
"NBNORG0000101550","Eupteryx vittata","mature",1,5,31,10
"NBNORG0000101552","Eurhadina concinna","mature",1,6,31,10
"NBNORG0000101553","Eurhadina loewii","mature",1,6,30,9
"NBNORG0000101554","Eurhadina pulchella","mature",1,6,31,10
"NBNORG0000101556","Eurybregma nigrolineata","mature",1,4,31,7
"NBNORG0000101558","Eurysa lineata","mature",1,5,31,7
"NBNORG0000101562","Euscelis incisus","mature",1,3,31,12
"NBNORG0000101563","Euscelis lineolatus","mature",1,5,30,9
"NBNORG0000101565","Evacanthus acuminatus","mature",1,6,30,9
