"organism_key","taxon","code"
"NBNORG0000011313","Cicadetta montana",1
"NBNORG0000011314","Doratura impudica",2
"NBNORG0000011315","Jassargus pseudocellaris",3
"NBNORG0000011316","Euscelis venosus",4
"NBNORG0000011317","Erotettix cyane",2
"NBNORG0000011318","Chlorita viridula",3
"NBNORG0000011319","Eurysanoides douglasi",4
"NBNORG0000011320","Ribautodelphax imitans",3
"NBNORG0000041190","Balclutha saltuella",4
"NBNORG0000041196","Batracomorphus irroratus",1
"NBNORG0000041884","Elymana kozhevnikovi",4
"NBNORG0000041993","Eurysella brunnea",4
"NBNORG0000042014","Fieberiella florii",4
"NBNORG0000042707","Ossiannilssonola callosa",3
"NBNORG0000095874","Anoscopus albifrons",2
"NBNORG0000095876","Anoscopus duffieldi",5
"NBNORG0000095970","Agallia brachyptera",2
"NBNORG0000095973","Aphrodes aestuarina",2
"NBNORG0000095974","Planaphrodes trifasciata",2
"NBNORG0000095976","Asiraca clavicornis",1
"NBNORG0000095977","Austroagallia sinuata",3
"NBNORG0000095978","Austroasca vittata",3
"NBNORG0000095982","Calligypona reyi",1
"NBNORG0000095984","Chloriona dorsata",3
"NBNORG0000095985","Chloriona vasconica",3
"NBNORG0000095986","Chlorita dumosa",3
"NBNORG0000095987","Cicadella lasiocarpae",3
"NBNORG0000095989","Criomorphus moestus",3
"NBNORG0000095990","Criomorphus williamsi",3
"NBNORG0000095991","Delphacodes capnodes",3
"NBNORG0000095992","Ebarrius cognatus",3
"NBNORG0000095993","Edwardsiana alnicola",4
"NBNORG0000095994","Edwardsiana ishidai",4
"NBNORG0000095995","Edwardsiana lanternae",4
"NBNORG0000095996","Edwardsiana rosaesugans",5
"NBNORG0000095997","Edwardsiana tersa",4
"NBNORG0000096001","Emelyanoviana contraria",5
"NBNORG0000096004","Eurhadina kirschbaumi",5
"NBNORG0000096005","Eurhadina ribauti",3
"NBNORG0000096007","Eurysula lurida",4
"NBNORG0000096008","Euscelidius schenckii",4
"NBNORG0000096009","Euscelidius variegatus",3
"NBNORG0000096010","Euscelis ohausi",3
"NBNORG0000096012","Florodelphax paryphasma",3
"NBNORG0000096014","Hephathus nanus",2
"NBNORG0000096081","Iassus scutellaris",2
"NBNORG0000096083","Issus muscaeformis",2
"NBNORG0000096085","Kyboasca bipunctata",4
"NBNORG0000096086","Kybos calyculus",5
"NBNORG0000096087","Laodelphax striatella",3
"NBNORG0000096092","Limotettix atricapillus",4
"NBNORG0000096094","Macropsis glandacea",5
"NBNORG0000096096","Macrosteles alpinus",5
"NBNORG0000096097","Macrosteles cristatus",5
"NBNORG0000096098","Macrosteles fieberi",5
"NBNORG0000096099","Macrosteles frontalis",4
"NBNORG0000096100","Macrosteles lividus",5
"NBNORG0000096101","Macrosteles quadripunctulatus",4
"NBNORG0000096102","Macrosteles sordidipennis",4
"NBNORG0000096103","Megamelodes lequesnei",3
"NBNORG0000096105","Metalimnus formosus",1
"NBNORG0000096107","Neophilaenus longiceps",4
"NBNORG0000096110","Oncodelphax pullula",2
"NBNORG0000096113","Paradelphacodes paludosa",3
"NBNORG0000096114","Paralimnus phragmitis",2
"NBNORG0000096115","Pediopsis tiliae",1
"NBNORG0000096118","Psammotettix albomarginatus",4
"NBNORG0000096119","Psammotettix maritimus",2
"NBNORG0000096120","Psammotettix nodosus",4
"NBNORG0000096122","Ribautodelphax angulosa",3
"NBNORG0000096123","Ribautodelphax pallens",4
"NBNORG0000096124","Ribautodelphax pungens",3
"NBNORG0000096126","Stenocranus fuscovittatus",4
"NBNORG0000096127","Stiroma bicarinata",3
"NBNORG0000096130","Trigonocranus emmeae",3
"NBNORG0000096132","Xanthodelphax flaveola",3
"NBNORG0000096133","Zygina rubrovittata",3
"NBNORG0000097731","Prokelisia marginata",2
"NBNORG0000101168","Agallia consobrina",3
"NBNORG0000101169","Anaceratagallia laevis",4
"NBNORG0000101170","Anaceratagallia ribauti",4
"NBNORG0000101172","Wagneripteryx germari",2
"NBNORG0000101173","Aguriahana stellulata",1
"NBNORG0000101175","Alebra albostriella",3
"NBNORG0000101176","Alebra coryli",3
"NBNORG0000101177","Alebra wahlbergi",3
"NBNORG0000101179","Allygidius commutatus",2
"NBNORG0000101180","Allygus mixtus",2
"NBNORG0000101181","Allygus modestus",2
"NBNORG0000101182","Alnetoidea alneti",2
"NBNORG0000101184","Anakelisia fasciata",3
"NBNORG0000101185","Anakelisia perspicillata",3
"NBNORG0000101204","Anoscopus albiger",4
"NBNORG0000101205","Aphrodes bicincta",5
"NBNORG0000101206","Planaphrodes bifasciata",1
"NBNORG0000101207","Anoscopus flavostriatus",1
"NBNORG0000101208","Anoscopus histrionicus",1
"NBNORG0000101209","Aphrodes makarovi",2
"NBNORG0000101210","Anoscopus serratulae",2
"NBNORG0000101212","Aphrophora alni",1
"NBNORG0000101213","Aphrophora major",2
"NBNORG0000101214","Aphrophora pectoralis",3
"NBNORG0000101215","Aphrophora salicina",3
"NBNORG0000101217","Arboridia parvula",2
"NBNORG0000101218","Arboridia ribauti",4
"NBNORG0000101220","Arocephalus punctum",2
"NBNORG0000101222","Arthaldeus pascuellus",1
