"organism_key","taxon","stage","code"
"NBNORG0000006882","Geophilus easoni","mature",6
"NBNORG0000006883","Nothogeophilus turki","mature",6
"NBNORG0000006884","Arenophilus peregrinus","mature",6
"NBNORG0000010717","Ligia oceanica","mature",1
"NBNORG0000010718","Ligidium hypnorum","mature",2
"NBNORG0000010719","Androniscus dentiger","mature",2
"NBNORG0000010720","Buddelundiella cataractae","mature",2
"NBNORG0000010721","Haplophthalmus danicus","mature",3
"NBNORG0000010722","Metatrichoniscoides celticus","mature",4
"NBNORG0000010723","Miktoniscus linearis","mature",5
"NBNORG0000010724","Miktoniscus patiencei","mature",3
"NBNORG0000010725","Oritoniscus flavus","mature",3
"NBNORG0000010726","Trichoniscoides albidus","mature",3
"NBNORG0000010727","Trichoniscoides saeroeensis","mature",4
"NBNORG0000010728","Trichoniscus pusillus","mature",4
"NBNORG0000010729","Cordioniscus stebbingi","mature",4
"NBNORG0000010730","Styloniscus spinosus","mature",4
"NBNORG0000010731","Oniscus asellus","mature",1
"NBNORG0000010732","Philoscia muscorum","mature",2
"NBNORG0000010733","Trichorhina tomentosa","mature",3
"NBNORG0000010734","Armadillidium album","mature",3
"NBNORG0000010735","Armadillidium depressum","mature",2
"NBNORG0000010736","Armadillidium nasatum","mature",2
"NBNORG0000010737","Armadillidium pictum","mature",3
"NBNORG0000010738","Armadillidium pulchellum","mature",3
"NBNORG0000010739","Armadillidium vulgare","mature",2
"NBNORG0000010741","Cylisticus convexus","mature",2
"NBNORG0000010743","Agabiformius lentus","mature",3
"NBNORG0000010744","Porcellio dilatatus","mature",3
"NBNORG0000010745","Porcellio scaber","mature",1
"NBNORG0000010746","Porcellio spinicornis","mature",2
"NBNORG0000010747","Porcellionides cingendus","mature",2
"NBNORG0000010748","Porcellionides pruinosus","mature",2
"NBNORG0000010749","Asellus (Asellus) aquaticus","mature",3
"NBNORG0000011644","Polyxenus lagurus","mature",2
"NBNORG0000011645","Glomeris marginata","mature",1
"NBNORG0000011646","Trachysphaera lobata","mature",3
"NBNORG0000011647","Chordeuma proximum","mature",3
"NBNORG0000011648","Melogona gallica","mature",4
"NBNORG0000011649","Brachychaeteuma bagnalli","mature",4
"NBNORG0000011650","Brachychaeteuma bradeae","mature",4
"NBNORG0000011651","Stosatea italica","mature",2
"NBNORG0000011652","Oxidus gracilis","mature",2
"NBNORG0000011653","Macrosternodesmus palicola","mature",3
"NBNORG0000011654","Prosopodesmus panporus","mature",3
"NBNORG0000011655","Polydesmus angustus","mature",2
"NBNORG0000011656","Polydesmus denticulatus","mature",3
"NBNORG0000011657","Polydesmus inconstans","mature",3
"NBNORG0000011658","Propolydesmus testaceus","mature",3
"NBNORG0000011659","Brachydesmus superus","mature",3
"NBNORG0000011660","Nemasoma varicorne","mature",2
"NBNORG0000011661","Thalassisobates littoralis","mature",3
"NBNORG0000011662","Blaniulus guttulatus","mature",2
"NBNORG0000011663","Archiboreoiulus pallidus","mature",2
"NBNORG0000011664","Boreoiulus tenuis","mature",2
"NBNORG0000011665","Nopoiulus kochii","mature",4
"NBNORG0000011666","Proteroiulus fuscus","mature",2
"NBNORG0000011667","Julus scandinavius","mature",4
"NBNORG0000011668","Ophyiulus pilosus","mature",4
"NBNORG0000011669","Leptoiulus belgicus","mature",4
"NBNORG0000011670","Leptoiulus kervillei","mature",4
"NBNORG0000011671","Ommatoiulus sabulosus","mature",1
"NBNORG0000011672","Brachyiulus pusillus","mature",3
"NBNORG0000011673","Enantiulus armatus","mature",3
"NBNORG0000011674","Cylindroiulus londinensis","mature",2
"NBNORG0000011675","Cylindroiulus vulnerarius","mature",2
"NBNORG0000011676","Cylindroiulus punctatus","mature",2
"NBNORG0000011677","Cylindroiulus latestriatus","mature",4
"NBNORG0000011678","Cylindroiulus britannicus","mature",4
"NBNORG0000011679","Cylindroiulus truncorum","mature",4
"NBNORG0000011680","Cylindroiulus parisiorum","mature",4
"NBNORG0000011681","Unciger foetidus","mature",3
"NBNORG0000011682","Cryptops anomalans","mature",3
"NBNORG0000011683","Cryptops hortensis","mature",3
"NBNORG0000011684","Henia brevis","mature",3
"NBNORG0000011685","Strigamia acuminata","mature",3
"NBNORG0000011686","Strigamia crassipes","mature",3
"NBNORG0000011687","Strigamia maritima","mature",3
"NBNORG0000011688","Pachymerium ferrugineum","mature",3
"NBNORG0000011690","Geophilus insculptus","mature",3
"NBNORG0000011691","Geophilus pusillifrater","mature",4
"NBNORG0000011692","Geophilus proximus","mature",4
"NBNORG0000011693","Dicellophilus carniolensis","mature",5
"NBNORG0000011694","Hydroschendyla submarina","mature",3
"NBNORG0000011695","Schendyla nemorensis","mature",3
"NBNORG0000011698","Scutigera coleoptrata","mature",3
"NBNORG0000013119","Arcitalitrus dorrieni","mature",3
"NBNORG0000023140","Trichoniscoides sarsi","mature",4
"NBNORG0000023237","Cylindroiulus caeruleocinctus","mature",2
"NBNORG0000024698","Metaiulus pratensis","mature",3
"NBNORG0000026868","Geophilus gracilis","mature",3
"NBNORG0000038502","Proasellus meridianus","mature",3
"NBNORG0000040423","Proasellus cavaticus","mature",3
"NBNORG0000052263","Adenomeris gibbosa","mature",3
"NBNORG0000052265","Allajulus nitidus","mature",3
"NBNORG0000052267","Anthogona britannica","mature",3
"NBNORG0000052269","Choneiulus palmatus","mature",4
"NBNORG0000052270","Chordeuma sylvestre","mature",3
"NBNORG0000052274","Cylindroiulus salicivorus","mature",3
"NBNORG0000052276","Geoglomeris subterranea","mature",3
"NBNORG0000052278","Haplopodoiulus spathifer","mature",3
"NBNORG0000052281","Melogona voigtii","mature",4
"NBNORG0000052283","Ophiodesmus albonanus","mature",3
"NBNORG0000052288","Polydesmus barberii","mature",3
"NBNORG0000052824","Styloniscus mauritiensis","mature",4
"NBNORG0000064611","Cryptops parisi","mature",3
"NBNORG0000064614","Geophilus electricus","mature",4
"NBNORG0000064615","Geophilus flavus","mature",3
"NBNORG0000064618","Geophilus osquidatum","mature",4
"NBNORG0000064621","Lamyctes emarginatus","mature",3
"NBNORG0000064626","Schendyla monoeci","mature",5
"NBNORG0000064627","Schendyla peyerimhoffi","mature",3
"NBNORG0000085738","Halophiloscia couchii","mature",3
"NBNORG0000085947","Trachelipus rathkii","mature",3
"NBNORG0000085952","Trichoniscoides helveticus","mature",4
"NBNORG0000085954","Trichoniscus provisorius","mature",4
"NBNORG0000085955","Trichoniscus pygmaeus","mature",3
"NBNORG0000091522","Anamastigona pulchella","mature",3
"NBNORG0000091526","Brachychaeteuma melanops","mature",3
"NBNORG0000091529","Craspedosoma rawlinsii","mature",2
"NBNORG0000091531","Cylindrodesmus hirsutus","mature",3
"NBNORG0000091534","Melogona scutellaris","mature",3
"NBNORG0000091536","Nanogona polydesmoides","mature",1
"NBNORG0000091540","Paraspirobolus lucifugus","mature",3
"NBNORG0000091541","Polydesmus coriaceus","mature",3
"NBNORG0000091542","Polyzonium germanicum","mature",1
"NBNORG0000091543","Poratia digitata","mature",3
"NBNORG0000091548","Tachypodoiulus niger","mature",2
"NBNORG0000091552","Eurygeophilus pinguis","mature",3
"NBNORG0000094109","Burmoniscus meeusei","mature",5
"NBNORG0000094110","Caecidotea communis","mature",5
"NBNORG0000094111","Chaetophiloscia sp.","mature",5
"NBNORG0000094112","Eluma caelata","mature",2
"NBNORG0000094114","Haplophthalmus montivagus","mature",4
"NBNORG0000094115","Metatrichoniscoides leydigii","mature",4
"NBNORG0000094116","Nagurus cristatus","mature",3
"NBNORG0000094117","Nagurus nanus","mature",3
"NBNORG0000094118","Platyarthrus hoffmannseggii","mature",1
"NBNORG0000094119","Porcellio laevis","mature",3
"NBNORG0000094120","Reductoniscus costulatus","mature",3
"NBNORG0000094121","Setaphora patiencei","mature",5
"NBNORG0000094122","Stenophiloscia glarearum","mature",4
"NBNORG0000095889","Trichoniscus pusillus sensu lato","mature",1
"NBNORG0000097391","Cryptops doriae","mature",5
"NBNORG0000097392","Geophilus truncorum","mature",2
"NBNORG0000097393","Henia vesuviana","mature",2
"NBNORG0000097395","Lithobius (Lithobius) borealis","mature",3
"NBNORG0000097396","Lithobius (Lithobius) calcaratus","mature",3
"NBNORG0000097397","Lithobius (Lithobius) forficatus","mature",2
"NBNORG0000097398","Lithobius (Lithobius) lapidicola","mature",4
"NBNORG0000097399","Lithobius (Lithobius) lucifugus","mature",4
"NBNORG0000097400","Lithobius (Lithobius) macilentus","mature",3
"NBNORG0000097401","Lithobius (Lithobius) melanops","mature",3
"NBNORG0000097402","Lithobius (Lithobius) muticus","mature",3
"NBNORG0000097403","Lithobius (Lithobius) peregrinus","mature",3
"NBNORG0000097404","Lithobius (Lithobius) piceus","mature",3
"NBNORG0000097405","Lithobius (Lithobius) pilicornis","mature",3
"NBNORG0000097406","Lithobius (Lithobius) tenebrosus","mature",4
"NBNORG0000097407","Lithobius (Lithobius) tricuspis","mature",4
"NBNORG0000097408","Lithobius (Lithobius) variegatus","mature",1
"NBNORG0000097410","Lithobius (Monotarsobius) crassipes","mature",3
"NBNORG0000097411","Lithobius (Monotarsobius) curtipes","mature",3
"NBNORG0000097413","Lithobius (Sigibius) microps","mature",2
"NBNORG0000097414","Mecistocephalus guildingii","mature",4
"NBNORG0000097417","Schendyla dentata","mature",3
"NBNORG0000097418","Stenotaenia linearis","mature",3
"NBNORG0000097494","Geophilus carpophagus sensu stricto","mature",3
"NBNORG0000097508","Trichoniscus pusillus agg.","mature",6
"NBNORG0000103740","Haplophilus souletinus","mature",3
