"organism_key","taxon","stage","code"
"NBNORG0000010073","Beris chalybata","mature",3
"NBNORG0000010074","Beris clavipes","mature",2
"NBNORG0000010075","Beris fuscipes","mature",3
"NBNORG0000010076","Beris morrisii","mature",3
"NBNORG0000010077","Beris vallata","mature",2
"NBNORG0000010078","Chorisops tibialis","mature",3
"NBNORG0000010079","Clitellaria ephippium","mature",4
"NBNORG0000010080","Nemotelus nigrinus","mature",3
"NBNORG0000010081","Nemotelus notatus","mature",3
"NBNORG0000010082","Nemotelus pantherinus","mature",3
"NBNORG0000010083","Nemotelus uliginosus","mature",3
"NBNORG0000010084","Oxycera analis","mature",2
"NBNORG0000010085","Oxycera dives","mature",2
"NBNORG0000010086","Oxycera fallenii","mature",2
"NBNORG0000010087","Oxycera leonina","mature",3
"NBNORG0000010088","Oxycera morrisii","mature",3
"NBNORG0000010089","Oxycera pardalina","mature",3
"NBNORG0000010090","Oxycera pygmaea","mature",3
"NBNORG0000010091","Oxycera rara","mature",2
"NBNORG0000010092","Oxycera terminata","mature",3
"NBNORG0000010093","Oxycera trilineata","mature",2
"NBNORG0000010094","Vanoyia tenuicornis","mature",3
"NBNORG0000010095","Pachygaster atra","mature",2
"NBNORG0000010096","Eupachygaster tarsalis","mature",3
"NBNORG0000010097","Chloromyia formosa","mature",1
"NBNORG0000010098","Microchrysa cyaneiventris","mature",2
"NBNORG0000010099","Microchrysa flavicornis","mature",2
"NBNORG0000010100","Microchrysa polita","mature",2
"NBNORG0000010101","Sargus bipunctatus","mature",2
"NBNORG0000010102","Sargus cuprarius","mature",4
"NBNORG0000010103","Sargus iridatus","mature",4
"NBNORG0000010104","Sargus flavipes","mature",3
"NBNORG0000010105","Odontomyia angulata","mature",3
"NBNORG0000010106","Odontomyia argentata","mature",2
"NBNORG0000010107","Odontomyia hydroleon","mature",3
"NBNORG0000010108","Odontomyia tigrina","mature",2
"NBNORG0000010109","Oplodontha viridula","mature",3
"NBNORG0000010110","Stratiomys chamaeleon","mature",2
"NBNORG0000010111","Stratiomys singularior","mature",2
"NBNORG0000010112","Stratiomys longicornis","mature",2
"NBNORG0000010113","Stratiomys potamida","mature",2
"NBNORG0000010114","Solva marginata","mature",2
"NBNORG0000010115","Solva varia","mature",4
"NBNORG0000010116","Xylophagus ater","mature",3
"NBNORG0000010117","Xylophagus cinctus","mature",3
"NBNORG0000010118","Xylophagus junki","mature",4
"NBNORG0000010119","Chrysopilus cristatus","mature",2
"NBNORG0000010120","Chrysopilus erythrophthalmus","mature",3
