"organism_key","taxon","stage","code"
"NBNORG0000009899","Cicindela campestris","mature",1
"NBNORG0000009900","Cicindela hybrida","mature",2
"NBNORG0000009901","Cicindela sylvatica","mature",1
"NBNORG0000009902","Cychrus caraboides","mature",1
"NBNORG0000009903","Calosoma inquisitor","mature",2
"NBNORG0000009904","Calosoma sycophanta","mature",4
"NBNORG0000009905","Pelophila borealis","mature",2
"NBNORG0000009906","Notiophilus aquaticus","mature",2
"NBNORG0000009907","Notiophilus germinyi","mature",3
"NBNORG0000009908","Notiophilus palustris","mature",3
"NBNORG0000009909","Notiophilus quadripunctatus","mature",3
"NBNORG0000009910","Notiophilus rufipes","mature",2
"NBNORG0000009911","Blethisa multipunctata","mature",2
"NBNORG0000009912","Clivina collaris","mature",2
"NBNORG0000009913","Clivina fossor","mature",2
"NBNORG0000009914","Broscus cephalotes","mature",1
"NBNORG0000009915","Miscodera arctica","mature",1
"NBNORG0000009916","Patrobus assimilis","mature",3
"NBNORG0000009917","Patrobus septentrionis","mature",3
"NBNORG0000009918","Perileptus areolatus","mature",3
"NBNORG0000009919","Thalassophilus longicornis","mature",3
"NBNORG0000009920","Asaphidion curtum","mature",3
"NBNORG0000009921","Asaphidion flavipes","mature",3
"NBNORG0000009923","Asaphidion pallipes","mature",2
"NBNORG0000009924","Asaphidion stierlini","mature",3
"NBNORG0000009926","Pogonus chalceus","mature",3
"NBNORG0000009927","Pogonus littoralis","mature",3
"NBNORG0000009928","Pogonus luridipennis","mature",2
"NBNORG0000009929","Stomis pumicatus","mature",1
"NBNORG0000009931","Abax parallelepipedus","mature",2
"NBNORG0000009932","Abax parallelus","mature",5
"NBNORG0000009933","Sphodrus leucophthalmus","mature",4
"NBNORG0000009934","Olisthopus rotundatus","mature",2
"NBNORG0000009937","Perigona nigriceps","mature",3
"NBNORG0000009938","Zabrus tenebrioides","mature",2
"NBNORG0000009940","Anisodactylus nemorivagus","mature",3
"NBNORG0000009941","Anisodactylus poeciloides","mature",2
"NBNORG0000009942","Scybalicus oblongiusculus","mature",3
"NBNORG0000009943","Diachromus germanus","mature",1
"NBNORG0000009944","Dicheirotrichus obsoletus","mature",3
"NBNORG0000009945","Dicheirotrichus cognatus","mature",3
"NBNORG0000009946","Dicheirotrichus placidus","mature",3
"NBNORG0000009947","Bradycellus distinctus","mature",3
"NBNORG0000009948","Bradycellus ruficollis","mature",2
"NBNORG0000009949","Bradycellus sharpi","mature",3
"NBNORG0000009950","Bradycellus verbasci","mature",3
"NBNORG0000009951","Stenolophus skrimshiranus","mature",3
"NBNORG0000009952","Stenolophus teutonus","mature",2
"NBNORG0000009953","Acupalpus brunnipes","mature",4
"NBNORG0000009954","Acupalpus dubius","mature",3
"NBNORG0000009955","Acupalpus elegans","mature",5
"NBNORG0000009956","Acupalpus exiguus","mature",3
"NBNORG0000009957","Acupalpus flavicollis","mature",4
"NBNORG0000009958","Acupalpus meridianus","mature",2
"NBNORG0000009959","Licinus depressus","mature",2
"NBNORG0000009960","Panagaeus cruxmajor","mature",2
"NBNORG0000009961","Chlaenius nitidulus","mature",4
"NBNORG0000009962","Chlaenius tristis","mature",3
"NBNORG0000009963","Chlaenius vestitus","mature",1
"NBNORG0000009964","Odacantha melanura","mature",1
"NBNORG0000009965","Dromius meridionalis","mature",3
"NBNORG0000009966","Dromius quadrimaculatus","mature",2
"NBNORG0000009967","Microlestes maurus","mature",3
"NBNORG0000009968","Microlestes minutulus","mature",3
"NBNORG0000009969","Lionychus quadrillum","mature",2
"NBNORG0000009970","Drypta dentata","mature",1
"NBNORG0000026945","Masoreus wetterhallii","mature",2
"NBNORG0000041205","Bembidion pallidipenne","mature",2
"NBNORG0000041206","Bembidion humerale","mature",3
"NBNORG0000041207","Bembidion quadrimaculatum","mature",3
"NBNORG0000041208","Bembidion tibiale","mature",4
"NBNORG0000041209","Bembidion assimile","mature",3
"NBNORG0000041210","Bembidion fumigatum","mature",3
"NBNORG0000041211","Bembidion minimum","mature",4
"NBNORG0000041212","Bembidion normannum","mature",4
"NBNORG0000041213","Bembidion dentellum","mature",3
