"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000009899","Cicindela campestris","mature",1,2,30,11
"NBNORG0000009900","Cicindela hybrida","mature",1,3,31,10
"NBNORG0000009903","Calosoma inquisitor","mature",1,4,31,8
"NBNORG0000009904","Calosoma sycophanta","mature",1,5,31,8
"NBNORG0000009905","Pelophila borealis","mature",1,6,31,8
"NBNORG0000009915","Miscodera arctica","mature",1,5,31,10
"NBNORG0000009917","Patrobus septentrionis","mature",1,5,30,9
"NBNORG0000009918","Perileptus areolatus","mature",1,4,30,9
"NBNORG0000009919","Thalassophilus longicornis","mature",1,4,30,9
"NBNORG0000009923","Asaphidion pallipes","mature",1,4,30,9
"NBNORG0000009927","Pogonus littoralis","mature",1,4,30,9
"NBNORG0000009928","Pogonus luridipennis","mature",1,3,30,9
"NBNORG0000009938","Zabrus tenebrioides","mature",1,4,31,10
"NBNORG0000009944","Dicheirotrichus obsoletus","mature",1,3,30,11
"NBNORG0000009955","Acupalpus elegans","mature",1,5,30,9
"NBNORG0000009970","Drypta dentata","mature",1,3,31,7
"NBNORG0000041205","Bembidion pallidipenne","mature",1,3,30,11
"NBNORG0000041206","Bembidion humerale","mature",1,4,31,10
"NBNORG0000041218","Bembidion ephippium","mature",1,3,31,10
"NBNORG0000042113","Harpalus dimidiatus","mature",1,4,31,10
"NBNORG0000042114","Harpalus honestus","mature",1,5,31,8
"NBNORG0000042117","Harpalus servus","mature",1,3,31,10
"NBNORG0000042118","Harpalus smaragdinus","mature",1,3,31,10
"NBNORG0000087134","Agonum gracilipes","mature",1,5,30,9
"NBNORG0000087254","Amara quenseli","mature",1,4,31,10
"NBNORG0000087520","Bembidion coeruleum","mature",1,4,31,8
"NBNORG0000087634","Blemus discus","mature",1,4,31,10
"NBNORG0000087754","Carabus auratus","mature",1,2,31,7
"NBNORG0000087766","Carabus nitens","mature",1,3,31,8
"NBNORG0000087778","Carabus monilis","mature",1,4,30,9
"NBNORG0000087823","Cicindela maritima","mature",1,3,31,10
"NBNORG0000087938","Curtonotus alpinus","mature",1,5,30,9
"NBNORG0000087947","Cylindera germanica","mature",1,5,31,8
"NBNORG0000088036","Dicheirotrichus gustavii","mature",1,3,30,11
"NBNORG0000088125","Elaphrus lapponicus","mature",1,4,31,10
"NBNORG0000088206","Eurynebria complanata","mature",1,5,31,12
"NBNORG0000088323","Harpalus melancholicus","mature",1,5,30,9
"NBNORG0000088327","Harpalus froelichii","mature",1,4,31,10
"NBNORG0000088328","Harpalus laevipes","mature",1,4,31,8
"NBNORG0000088329","Harpalus neglectus","mature",1,3,31,8
"NBNORG0000088330","Harpalus pumilus","mature",1,3,30,9
"NBNORG0000088332","Harpalus serripes","mature",1,4,31,10
"NBNORG0000088335","Harpalus griseus","mature",1,5,31,8
"NBNORG0000088567","Lebia cyanocephala","mature",1,3,31,10
"NBNORG0000088569","Lebia cruxminor","mature",1,4,31,10
"NBNORG0000088597","Leistus montanus","mature",1,5,31,10
"NBNORG0000088798","Nebria nivalis","mature",1,4,30,9
"NBNORG0000088799","Nebria rufescens","mature",1,3,30,9
"NBNORG0000088804","Nebria livida","mature",1,5,31,10
"NBNORG0000088923","Omophron limbatum","mature",1,2,31,10
"NBNORG0000088946","Ophonus cordatus","mature",1,4,30,9
"NBNORG0000088947","Ophonus laticollis","mature",1,4,31,10
"NBNORG0000088948","Ophonus melletii","mature",1,4,31,12
"NBNORG0000088953","Ophonus rupicola","mature",1,3,31,10
"NBNORG0000088959","Ophonus sabulicola","mature",1,4,30,9
"NBNORG0000088960","Ophonus stictus","mature",1,4,30,9
"NBNORG0000089148","Polistichus connexus","mature",1,5,30,9
"NBNORG0000089410","Sericoda quadripunctata","mature",1,4,31,10
"NBNORG0000089658","Trechus rivularis","mature",1,6,30,9
"NBNORG0000089659","Trechus secalis","mature",1,4,31,12
