"taxon","tvk","start_day","start_month","end_day","end_month","stage"
"Sympetrum fonscolombii","NHMSYS0000344188","08","05","19","09","Adult"
"Lestes barbarus","NBNSYS0000005612","04","06","26","09","Adult"
"Aeshna affinis","NHMSYS0020546806","26","06","26","08","Adult"
"Coenagrion pulchellum","NBNSYS0000005605","26","04","24","07","Adult"
"Lestes sponsa","NBNSYS0000005613","18","06","19","09","Adult"
"Cordulegaster boltonii","NBNSYS0000005621","28","05","03","09","Adult"
"Libellula quadrimaculata","NBNSYS0000005639","05","05","31","07","Adult"
"Aeshna cyanea","NBNSYS0000005626","21","06","12","10","Adult"
"Anax imperator","NBNSYS0000005630","25","05","27","08","Adult"
"Aeshna caerulea","NBNSYS0000005623","20","05","11","08","Adult"
"Cordulia aenea","NBNSYS0000005632","27","04","18","07","Adult"
"Orthetrum cancellatum","NBNSYS0000005641","25","05","18","08","Adult"
"Libellula fulva","NBNSYS0000005638","08","05","18","07","Adult"
"Erythromma najas","NBNSYS0000005610","30","04","22","08","Adult"
"Anax parthenope","NHMSYS0000344169","09","06","26","08","Adult"
"Coenagrion hastulatum","NBNSYS0000005607","08","05","12","08","Adult"
"Ischnura pumilio","NBNSYS0000005601","18","05","20","08","Adult"
"Anax ephippiger","NHMSYS0021009098","10","04","04","01","Adult"
"Libellula depressa","NBNSYS0000005637","30","04","28","07","Adult"
"Pyrrhosoma nymphula","NBNSYS0000005599","16","04","28","07","Adult"
"Chalcolestes viridis","NHMSYS0021009068","16","07","22","10","Adult"
"Calopteryx virgo","NBNSYS0000005616","27","04","09","08","Adult"
"Calopteryx splendens","NBNSYS0000005617","06","05","23","08","Adult"
"Sympetrum striolatum","NBNSYS0000005645","28","06","25","10","Adult"
"Anaciaeschna isoceles","NHMSYS0021009091","19","05","24","07","Adult"
"Sympetrum danae","NBNSYS0000005651","02","07","10","10","Adult"
"Somatochlora arctica","NBNSYS0000005635","19","05","13","08","Adult"
"Ischnura elegans","NHMSYS0000344179","08","05","29","08","Adult"
"Aeshna juncea","NBNSYS0000005624","22","06","05","10","Adult"
"Aeshna grandis","NBNSYS0000005625","22","06","15","09","Adult"
"Sympetrum sanguineum","NBNSYS0000005650","22","06","26","09","Adult"
"Orthetrum coerulescens","NBNSYS0000005640","30","05","28","08","Adult"
"Somatochlora metallica","NHMSYS0020546972","26","05","19","08","Adult"
"Gomphus vulgatissimus","NBNSYS0000005620","03","05","23","06","Adult"
"Ceriagrion tenellum","NBNSYS0000005611","06","06","31","08","Adult"
"Coenagrion puella","NBNSYS0000005606","03","05","08","08","Adult"
"Coenagrion mercuriale","NBNSYS0000005603","27","05","06","08","Adult"
"Brachytron pratense","NBNSYS0000005622","27","04","27","06","Adult"
"Erythromma viridulum","NHMSYS0000344177","28","06","09","09","Adult"
"Leucorrhinia dubia","NHMSYS0020546892","01","05","18","07","Adult"
"Enallagma cyathigerum","NBNSYS0000005602","10","05","08","09","Adult"
"Lestes dryas","NBNSYS0000005614","03","06","20","08","Adult"
"Platycnemis pennipes","NBNSYS0000005598","12","05","16","08","Adult"
"Aeshna mixta","NBNSYS0000005627","21","07","19","10","Adult"
