organism_key,taxon,stage,code
NBNORG0000017019,Porella platyphylla,mature,1
NBNORG0000017020,Preissia quadrata,mature,4
NBNORG0000017021,Scapania nemorea,mature,4
NBNORG0000017023,Lewinskya affinis,mature,1
NBNORG0000017024,Hedwigia ciliata s.str.,mature,3
NBNORG0000017025,Fontinalis antipyretica,mature,1
NBNORG0000017026,Hylocomiadelphus triquetrus,mature,1
NBNORG0000017027,Rhytidiadelphus squarrosus,mature,1
NBNORG0000017028,Rhytidiadelphus loreus,mature,1
NBNORG0000023603,Haplomitrium hookeri,mature,4
NBNORG0000023604,Mastigophora woodsii,mature,4
NBNORG0000023605,Herbertus borealis,mature,5
NBNORG0000023607,Tricholepidozia tetradactyla,mature,5
NBNORG0000023608,Kurzia pauciflora,mature,4
NBNORG0000023609,Lepidozia pearsonii,mature,4
NBNORG0000023610,Bazzania pearsonii,mature,5
NBNORG0000023611,Calypogeia fissa,mature,3
NBNORG0000023612,Calypogeia integristipula,mature,5
NBNORG0000023613,Calypogeia azurea,mature,4
NBNORG0000023614,Pseudomarsupidium decipiens,mature,4
NBNORG0000023615,Cephalozia macrostachya,mature,5
NBNORG0000023616,Cephalozia leucantha,mature,5
NBNORG0000023617,Cephalozia loitlesbergeri,mature,5
NBNORG0000023618,Cephalozia connivens,mature,3
NBNORG0000023619,Cephalozia curvifolia,mature,1
NBNORG0000023620,Cephalozia albescens,mature,4
NBNORG0000023621,Hygrobiella laxifolia,mature,4
NBNORG0000023622,Cephaloziella rubella,mature,5
NBNORG0000023623,Cephaloziella hampeana,mature,4
NBNORG0000023624,Cephaloziella baumgartneri,mature,5
NBNORG0000023625,Cephaloziella divaricata,mature,4
NBNORG0000023626,Cephaloziella integerrima,mature,5
NBNORG0000023627,Orthocaulis attenuatus,mature,1
NBNORG0000023628,Barbilophozia lycopodioides,mature,4
NBNORG0000023629,Anastrepta orcadensis,mature,4
NBNORG0000023630,Lophozia longidens,mature,4
NBNORG0000023631,Lophozia guttulata,mature,5
NBNORG0000023632,Lophozia wenzelii,mature,5
NBNORG0000023633,Heterogemma capitata,mature,5
NBNORG0000023634,Mesoptychia bantriensis,mature,4
NBNORG0000023635,Anastrophyllum donnianum,mature,5
NBNORG0000023636,Anastrophyllum joergensenii s.str.,mature,5
NBNORG0000023637,Tritomaria exsecta,mature,4
NBNORG0000023638,Tritomaria exsectiformis,mature,4
NBNORG0000023639,Saccobasis polita,mature,4
NBNORG0000023640,Syzygiella autumnalis,mature,4
NBNORG0000023641,Liochlaena lanceolata,mature,5
NBNORG0000023642,Jungermannia pumila,mature,4
NBNORG0000023643,Jungermannia polaris,mature,5
NBNORG0000023644,Jungermannia borealis,mature,5
NBNORG0000023646,Solenostoma confertissimum,mature,5
NBNORG0000023647,Solenostoma paroicum,mature,4
NBNORG0000023648,Endogemma caespiticia,mature,5
NBNORG0000023650,Solenostoma obovatum,mature,4
NBNORG0000023651,Nardia geoscyphus,mature,5
NBNORG0000023652,Nardia breidleri,mature,4
NBNORG0000023653,Marsupella profunda,mature,5
NBNORG0000023655,Gymnomitrion corallioides,mature,5
NBNORG0000023656,Scapania gymnostomophila,mature,5
NBNORG0000023657,Scapania parvifolia,mature,5
NBNORG0000023658,Scapania praetervisa,mature,5
NBNORG0000023659,Scapania irrigua,mature,4
NBNORG0000023660,Scapania gracilis,mature,4
NBNORG0000023661,Scapania ornithopoides,mature,4
NBNORG0000023662,Leptoscyphus cuneifolius,mature,4
NBNORG0000023665,Lophocolea semiteres,mature,4
NBNORG0000023667,Harpanthus flotovianus,mature,4
NBNORG0000023668,Geocalyx graveolens,mature,5
NBNORG0000023669,Pedinophyllum interruptum,mature,5
NBNORG0000023670,Plagiochila britannica,mature,4
NBNORG0000023671,Southbya tophacea,mature,4
NBNORG0000023672,Gongylanthus ericetorum,mature,5
NBNORG0000023673,Pleurozia purpurea,mature,1
NBNORG0000023674,Radula holtii,mature,5
NBNORG0000023675,Ptilidium ciliare,mature,1
NBNORG0000023676,Porella pinnata,mature,4
NBNORG0000023678,Frullania microphylla var. deciduifolia,mature,4
NBNORG0000023679,Lejeunea cavifolia,mature,4
NBNORG0000023681,Lejeunea patens,mature,4
NBNORG0000023682,Lejeunea flava,mature,5
NBNORG0000023684,Lejeunea eckloniana,mature,5
NBNORG0000023685,Fossombronia foveolata,mature,4
NBNORG0000023686,Fossombronia angulosa,mature,4
NBNORG0000023687,Fossombronia caespitiformis s.str.,mature,4
NBNORG0000023691,Fossombronia mittenii,mature,5
NBNORG0000023692,Fossombronia incurva,mature,4
NBNORG0000023693,Fossombronia fimbriata,mature,4
NBNORG0000023694,Pallavicinia lyellii,mature,4
NBNORG0000023695,Blasia pusilla,mature,1
NBNORG0000023696,Aneura mirabilis,mature,1
NBNORG0000023697,Riccardia chamedryfolia,mature,3
NBNORG0000023698,Riccardia incurvata,mature,5
NBNORG0000023699,Riccardia palmata,mature,4
NBNORG0000023700,Riccardia latifrons,mature,4
NBNORG0000023701,Metzgeria conjugata,mature,4
NBNORG0000023702,Metzgeria leptoneura,mature,4
NBNORG0000023703,Metzgeria pubescens,mature,1
NBNORG0000023704,Sphaerocarpos michelii,mature,4
NBNORG0000023705,Targionia hypophylla,mature,4
NBNORG0000023706,Dumortiera hirsuta,mature,4
NBNORG0000023707,Reboulia hemisphaerica,mature,4
NBNORG0000023708,Riccia huebeneriana,mature,4
NBNORG0000023709,Riccia canaliculata,mature,5
NBNORG0000023710,Riccia sorocarpa,mature,3
NBNORG0000023711,Riccia glauca,mature,3
NBNORG0000023712,Riccia bifurca,mature,5
NBNORG0000023713,Riccia nigrella,mature,4
NBNORG0000023714,Riccia beyrichiana,mature,4
NBNORG0000023715,Riccia crozalsii,mature,5
NBNORG0000023716,Anthoceros punctatus,mature,4
NBNORG0000023717,Anthoceros agrestis,mature,4
NBNORG0000023719,Phaeoceros laevis,mature,4
NBNORG0000023720,Sphagnum papillosum,mature,3
NBNORG0000023721,Sphagnum palustre,mature,3
NBNORG0000023722,Sphagnum magellanicum s.l.,mature,1
NBNORG0000023723,Sphagnum squarrosum,mature,1
NBNORG0000023724,Sphagnum russowii,mature,4
NBNORG0000023725,Sphagnum skyense,mature,4
NBNORG0000023727,Sphagnum molle,mature,4
NBNORG0000023728,Sphagnum strictum,mature,4
NBNORG0000023729,Sphagnum contortum,mature,4
NBNORG0000023730,Sphagnum cuspidatum,mature,1
NBNORG0000023732,Sphagnum obtusum,mature,5
NBNORG0000023733,Sphagnum lindbergii,mature,1
NBNORG0000023734,Andreaea hookeri,mature,4
NBNORG0000023735,Andreaea rupestris var. papillosa,mature,4
NBNORG0000023736,Andreaea rupestris,mature,2
NBNORG0000023737,Andreaea alpestris,mature,5
NBNORG0000023738,Andreaea rothii subsp. falcata,mature,4
NBNORG0000023740,Andreaea blyttii,mature,5
NBNORG0000023741,Andreaea nivalis,mature,2
NBNORG0000023743,Tetraphis pellucida,mature,1
NBNORG0000023744,Tetrodontium repandum,mature,5
NBNORG0000023745,Polytrichum perigoniale,mature,4
NBNORG0000023746,Polytrichastrum alpinum,mature,1
NBNORG0000023747,Polytrichum longisetum,mature,4
NBNORG0000023748,Polytrichum formosum,mature,2
NBNORG0000023749,Polytrichum commune s.l.,mature,1
NBNORG0000023751,Polytrichum piliferum,mature,1
NBNORG0000023752,Polytrichum juniperinum,mature,1
NBNORG0000023753,Pogonatum nanum,mature,4
NBNORG0000023754,Pogonatum aloides,mature,1
NBNORG0000023755,Pogonatum urnigerum,mature,1
NBNORG0000023756,Oligotrichum hercynicum,mature,2
NBNORG0000023758,Atrichum flavisetum,mature,5
NBNORG0000023759,Buxbaumia aphylla,mature,1
NBNORG0000023760,Archidium alternifolium,mature,3
NBNORG0000023761,Pleuridium acuminatum,mature,4
NBNORG0000023762,Trichodon cylindricus,mature,4
NBNORG0000023763,Ditrichum subulatum,mature,4
