"organism_key","taxon","stage","start_day","start_month","end_day","end_month"
"NBNORG0000010529","Rhyacophila dorsalis","mature",1,3,30,11
"NBNORG0000010530","Rhyacophila munda","mature",1,5,31,10
"NBNORG0000010531","Rhyacophila obliterata","mature",1,5,31,10
"NBNORG0000010532","Glossosoma boltoni","mature",1,3,30,11
"NBNORG0000010533","Glossosoma intermedium","mature",1,4,31,5
"NBNORG0000010534","Agapetus delicatulus","mature",1,6,30,9
"NBNORG0000010536","Agapetus ochripes","mature",1,4,31,10
"NBNORG0000010537","Agraylea multipunctata","mature",1,4,30,9
"NBNORG0000010538","Agraylea sexmaculata","mature",1,5,30,9
"NBNORG0000010539","Allotrichia pallicornis","mature",1,5,31,8
"NBNORG0000010540","Hydroptila angulata","mature",1,6,31,10
"NBNORG0000010541","Hydroptila cornuta","mature",1,6,31,8
"NBNORG0000010542","Hydroptila forcipata","mature",1,5,30,9
"NBNORG0000010543","Hydroptila lotensis","mature",1,5,30,9
"NBNORG0000010544","Hydroptila martini","mature",1,6,31,8
"NBNORG0000010545","Hydroptila occulta","mature",1,5,30,9
"NBNORG0000010546","Hydroptila pulchricornis","mature",1,6,30,9
"NBNORG0000010547","Hydroptila simulans","mature",1,5,30,9
"NBNORG0000010548","Hydroptila sparsa","mature",1,5,31,10
"NBNORG0000010549","Hydroptila sylvestris","mature",1,5,30,9
"NBNORG0000010550","Hydroptila tigurina","mature",1,6,31,8
"NBNORG0000010551","Hydroptila tineoides","mature",1,5,31,10
"NBNORG0000010553","Hydroptila vectis","mature",1,5,31,10
"NBNORG0000010555","Oxyethira falcata","mature",1,5,31,10
"NBNORG0000010556","Oxyethira flavicornis","mature",1,5,30,9
"NBNORG0000010557","Oxyethira frici","mature",1,6,30,9
"NBNORG0000010558","Oxyethira mirabilis","mature",1,7,31,8
"NBNORG0000010559","Oxyethira sagittifera","mature",1,6,30,9
"NBNORG0000010560","Oxyethira simplex","mature",1,5,31,10
"NBNORG0000010561","Oxyethira tristella","mature",1,5,30,9
"NBNORG0000010562","Tricholeiochiton fagesii","mature",1,5,31,10
"NBNORG0000010563","Ithytrichia clavata","mature",1,6,31,8
"NBNORG0000010564","Ithytrichia lamellaris","mature",1,6,30,9
"NBNORG0000010565","Orthotrichia angustella","mature",1,7,31,8
"NBNORG0000010566","Orthotrichia costalis","mature",1,5,30,9
"NBNORG0000010568","Philopotamus montanus","mature",1,2,31,10
"NBNORG0000010569","Wormaldia mediana","mature",1,6,30,9
"NBNORG0000010570","Wormaldia occipitalis","mature",1,1,30,11
"NBNORG0000010571","Wormaldia subnigra","mature",1,6,31,10
"NBNORG0000010572","Chimarra marginata","mature",1,2,30,9
"NBNORG0000010573","Lype phaeopa","mature",1,5,30,9
"NBNORG0000010574","Lype reducta","mature",1,5,31,8
"NBNORG0000010575","Psychomyia fragilis","mature",1,6,31,8
"NBNORG0000010576","Tinodes assimilis","mature",1,4,30,9
"NBNORG0000010577","Tinodes dives","mature",1,5,31,8
"NBNORG0000010578","Tinodes maclachlani","mature",1,5,30,9
"NBNORG0000010580","Tinodes pallidulus","mature",1,7,31,7
"NBNORG0000010581","Tinodes rostocki","mature",1,5,31,7
"NBNORG0000010582","Tinodes unicolor","mature",1,5,31,8
"NBNORG0000010583","Tinodes waeneri","mature",1,4,31,10
"NBNORG0000010584","Ecnomus tenellus","mature",1,4,31,10
"NBNORG0000010586","Cyrnus flavidus","mature",1,5,30,9
"NBNORG0000010587","Cyrnus insolutus","mature",1,6,31,7
"NBNORG0000010588","Cyrnus trimaculatus","mature",1,5,30,9
"NBNORG0000010589","Holocentropus dubius","mature",1,5,30,9
"NBNORG0000010590","Holocentropus picicornis","mature",1,4,31,10
"NBNORG0000010591","Holocentropus stagnalis","mature",1,4,30,9
"NBNORG0000010592","Neureclipsis bimaculata","mature",1,5,30,9
"NBNORG0000010593","Plectrocnemia brevis","mature",1,5,30,9
"NBNORG0000010594","Plectrocnemia conspersa","mature",1,5,31,10
"NBNORG0000010595","Plectrocnemia geniculata","mature",1,5,30,9
"NBNORG0000010596","Polycentropus flavomaculatus","mature",1,5,31,10
"NBNORG0000010597","Polycentropus irroratus","mature",1,5,30,9
"NBNORG0000010598","Polycentropus kingi","mature",1,6,30,9
"NBNORG0000010599","Cheumatopsyche lepida","mature",1,5,30,9
"NBNORG0000010600","Hydropsyche angustipennis","mature",1,5,31,10
"NBNORG0000010601","Hydropsyche bulgaromanorum","mature",1,7,30,9
"NBNORG0000010602","Hydropsyche contubernalis","mature",1,4,31,10
"NBNORG0000010603","Hydropsyche exocellata","mature",1,5,30,9
"NBNORG0000010604","Hydropsyche fulvipes","mature",1,5,31,8
"NBNORG0000010605","Hydropsyche instabilis","mature",1,4,30,9
"NBNORG0000010606","Hydropsyche pellucidula","mature",1,4,31,10
"NBNORG0000010608","Hydropsyche siltalai","mature",1,3,31,10
"NBNORG0000010609","Diplectrona felix","mature",1,2,30,9
"NBNORG0000010610","Agrypnia obsoleta","mature",1,5,30,9
"NBNORG0000010611","Agrypnia pagetana","mature",1,4,31,10
"NBNORG0000010613","Hagenella clathrata","mature",1,5,31,7
"NBNORG0000010614","Oligotricha striata","mature",1,5,30,9
"NBNORG0000010615","Phryganea bipunctata","mature",1,5,31,10
"NBNORG0000010616","Phryganea grandis","mature",1,5,31,8
"NBNORG0000010617","Trichostegia minor","mature",1,4,31,8
"NBNORG0000010618","Brachycentrus subnubilus","mature",1,3,30,6
"NBNORG0000010619","Crunoecia irrorata","mature",1,4,31,10
"NBNORG0000010620","Lepidostoma basale","mature",1,5,30,9
"NBNORG0000010621","Ironoquia dubia","mature",1,9,31,10
"NBNORG0000010623","Apatania muliebris","mature",1,3,31,10
"NBNORG0000010625","Apatania wallengreni","mature",1,3,31,7
"NBNORG0000010626","Drusus annulatus","mature",1,3,31,10
"NBNORG0000010627","Ecclisopteryx dalecarlica","mature",1,5,31,7
"NBNORG0000010628","Allogamus auricollis","mature",1,7,31,10
"NBNORG0000010629","Enoicyla pusilla","mature",1,5,30,9
"NBNORG0000010630","Halesus digitatus","mature",1,6,30,11
"NBNORG0000010631","Halesus radiatus","mature",1,5,30,11
"NBNORG0000010632","Hydatophylax infumatus","mature",1,6,31,7
"NBNORG0000010633","Melampophylax mucoreus","mature",1,9,30,11
"NBNORG0000010635","Mesophylax impunctatus","mature",1,5,30,9
"NBNORG0000010638","Micropterna lateralis","mature",1,3,30,9
"NBNORG0000010639","Micropterna sequax","mature",1,4,31,10
"NBNORG0000010640","Potamophylax cingulatus","mature",1,4,31,10
"NBNORG0000010641","Potamophylax latipennis","mature",1,4,31,10
"NBNORG0000010642","Potamophylax rotundipennis","mature",1,7,30,9
"NBNORG0000010643","Stenophylax permistus","mature",1,2,30,11
"NBNORG0000010644","Stenophylax vibex","mature",1,4,31,10
"NBNORG0000010645","Anabolia nervosa","mature",1,6,30,11
"NBNORG0000010646","Glyphotaelius pellucidus","mature",1,3,30,11
"NBNORG0000010647","Grammotaulius nigropunctatus","mature",1,2,30,11
"NBNORG0000010648","Limnephilus affinis","mature",1,3,30,11
"NBNORG0000010649","Limnephilus auricula","mature",1,2,30,11
"NBNORG0000010650","Limnephilus binotatus","mature",1,4,31,10
"NBNORG0000010651","Limnephilus bipunctatus","mature",1,4,31,10
"NBNORG0000010652","Limnephilus borealis","mature",1,5,30,9
"NBNORG0000010653","Limnephilus centralis","mature",1,3,31,10
"NBNORG0000010654","Limnephilus coenosus","mature",1,6,31,10
"NBNORG0000010655","Limnephilus decipiens","mature",1,5,31,10
"NBNORG0000010656","Limnephilus elegans","mature",1,4,31,10
"NBNORG0000010657","Limnephilus extricatus","mature",1,4,31,10
"NBNORG0000010658","Limnephilus fuscicornis","mature",1,5,31,8
"NBNORG0000010660","Limnephilus griseus","mature",1,4,31,10
"NBNORG0000010661","Limnephilus hirsutus","mature",1,5,30,9
"NBNORG0000010662","Limnephilus ignavus","mature",1,5,31,10
"NBNORG0000010663","Limnephilus incisus","mature",1,5,31,10
"NBNORG0000010664","Limnephilus lunatus","mature",1,3,30,11
"NBNORG0000010665","Limnephilus luridus","mature",1,3,31,10
"NBNORG0000010666","Limnephilus marmoratus","mature",1,3,30,11
"NBNORG0000010667","Limnephilus nigriceps","mature",1,8,30,11
"NBNORG0000010668","Limnephilus pati","mature",1,6,31,7
"NBNORG0000010669","Limnephilus politus","mature",1,7,31,10
"NBNORG0000010670","Limnephilus rhombicus","mature",1,5,31,10
"NBNORG0000010671","Limnephilus sparsus","mature",1,3,31,10
"NBNORG0000010672","Limnephilus stigma","mature",1,5,31,10
"NBNORG0000010673","Limnephilus subcentralis","mature",1,6,31,10
"NBNORG0000010674","Limnephilus tauricus","mature",1,7,31,8
"NBNORG0000010675","Nemotaulius punctatolineatus","mature",1,6,31,7
"NBNORG0000010676","Rhadicoleptus alpestris","mature",1,5,31,10
"NBNORG0000010677","Silo nigricornis","mature",1,5,30,9
"NBNORG0000010678","Beraea maurus","mature",1,4,30,9
"NBNORG0000010679","Beraea pullata","mature",1,4,31,10
"NBNORG0000010680","Beraeodes minutus","mature",1,5,31,8
"NBNORG0000010681","Ernodes articularis","mature",1,10,30,11
"NBNORG0000010682","Notidobia ciliaris","mature",1,5,31,7
"NBNORG0000010683","Sericostoma personatum","mature",1,4,31,10
"NBNORG0000010684","Odontocerum albicorne","mature",1,5,30,9
"NBNORG0000010685","Molanna albicans","mature",1,6,30,9
"NBNORG0000010686","Molanna angustata","mature",1,5,30,9
"NBNORG0000010687","Athripsodes albifrons","mature",1,4,31,10
"NBNORG0000010689","Athripsodes aterrimus","mature",1,5,30,9
"NBNORG0000010690","Athripsodes bilineatus","mature",1,5,30,9
"NBNORG0000010691","Athripsodes cinereus","mature",1,5,31,10
"NBNORG0000010692","Athripsodes commutatus","mature",1,5,30,9
"NBNORG0000010693","Ceraclea albimacula","mature",1,6,30,9
"NBNORG0000010694","Ceraclea annulicornis","mature",1,5,31,8
"NBNORG0000010695","Ceraclea dissimilis","mature",1,5,30,9
"NBNORG0000010696","Ceraclea fulva","mature",1,5,31,10
"NBNORG0000010697","Ceraclea nigronervosa","mature",1,5,31,8
"NBNORG0000010698","Ceraclea senilis","mature",1,5,30,9
"NBNORG0000010699","Leptocerus lusitanicus","mature",1,7,31,8
"NBNORG0000010700","Leptocerus tineiformis","mature",1,5,30,9
"NBNORG0000010701","Mystacides azurea","mature",1,5,31,10
"NBNORG0000010702","Mystacides longicornis","mature",1,5,30,9
"NBNORG0000010703","Adicella filicornis","mature",1,6,31,7
"NBNORG0000010704","Adicella reducta","mature",1,6,31,8
"NBNORG0000010705","Erotesis baltica","mature",1,5,31,8
"NBNORG0000010706","Triaenodes bicolor","mature",1,5,30,9
"NBNORG0000010707","Ylodes conspersus","mature",1,5,30,9
"NBNORG0000010708","Ylodes reuteri","mature",1,6,31,8
"NBNORG0000010709","Ylodes simulans","mature",1,7,31,8
"NBNORG0000010710","Oecetis furva","mature",1,6,30,9
"NBNORG0000010711","Oecetis lacustris","mature",1,6,30,9
"NBNORG0000010712","Oecetis notata","mature",1,7,31,8
"NBNORG0000010713","Oecetis ochracea","mature",1,5,30,9
"NBNORG0000010714","Oecetis testacea","mature",1,6,31,8
"NBNORG0000010715","Setodes argentipunctellus","mature",1,7,30,9
"NBNORG0000010716","Setodes punctatus","mature",1,7,31,7
"NBNORG0000027038","Rhyacophila fasciata","mature",1,5,31,10
"NBNORG0000095971","Agrypnetes crassicornis","mature",1,6,31,7
"NBNORG0000096090","Leptocerus interruptus","mature",1,6,31,8
"NBNORG0000100777","Agrypnia varia","mature",1,4,31,10
"NBNORG0000100787","Chaetopteryx villosa","mature",1,9,31,12
