"species","preferred_species_name","tvk","rtvk","flight_period","id_difficulty"
"Anasimyia contracta","Anasimyia contracta","NBNSYS0000007039","NBNSYS0000007039","04-30 to 11-01","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Anasimyia interpuncta","Anasimyia interpuncta","NBNSYS0000007040","NBNSYS0000007040","04-10 to 09-09","4: Species needs confirmation from national expert"
"Anasimyia lineata","Anasimyia lineata","NBNSYS0000007041","NBNSYS0000007041","04-22 to 11-01","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Anasimyia lunulata","Anasimyia lunulata","NBNSYS0000007042","NBNSYS0000007042","05-07 to 09-30","4: Species needs confirmation from national expert"
"Anasimyia transfuga","Anasimyia transfuga","NBNSYS0000007043","NBNSYS0000007043","04-27 to 10-03","4: Species needs confirmation from national expert"
"Baccha elongata","Baccha elongata","NBNSYS0000006862","NBNSYS0000006862","02-06 to 12-30","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Blera fallax","Blera fallax","NBNSYS0000007099","NBNSYS0000007099","03-17 to 12-07","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Brachyopa bicolor","Brachyopa bicolor","NBNSYS0000007012","NBNSYS0000007012","03-24 to 06-26","4: Species needs confirmation from national expert"
"Brachyopa insensilis","Brachyopa insensilis","NBNSYS0000007013","NBNSYS0000007013","02-23 to 12-01","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Brachyopa pilosa","Brachyopa pilosa","NBNSYS0000007014","NBNSYS0000007014","04-14 to 09-09","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Brachyopa scutellaris","Brachyopa scutellaris","NBNSYS0000007015","NBNSYS0000007015","02-27 to 11-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Brachypalpoides lentus","Brachypalpoides lentus","NBNSYS0100002071","NBNSYS0100002071","04-14 to 10-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Brachypalpus laphriformis","Brachypalpus laphriformis","NBNSYS0000007101","NBNSYS0000007101","01-23 to 11-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Caliprobola speciosa","Caliprobola speciosa","NBNSYS0000007102","NBNSYS0000007102","05-03 to 06-30","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Callicera aurata","Callicera aurata","NBNSYS0000006969","NBNSYS0000006969","03-13 to 10-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Callicera rufa","Callicera rufa","NBNSYS0000006970","NBNSYS0000006970","01-03 to 01-01","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Callicera spinolae","Callicera spinolae","NBNSYS0000006971","NBNSYS0000006971","09-09 to 10-08","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Chalcosyrphus eunotus","Chalcosyrphus eunotus","NBNSYS0000007104","NBNSYS0000007104","04-17 to 07-01","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Chalcosyrphus nemorum","Chalcosyrphus nemorum","NBNSYS0000007103","NBNSYS0000007103","02-23 to 11-15","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Chamaesyrphus caledonicus","Chamaesyrphus caledonicus","NBNSYS0000007071","NBNSYS0000007071","06-08 to 08-07","5: Voucher specimen required to be examined by national expert"
"Chamaesyrphus scaevoides","Chamaesyrphus scaevoides","NBNSYS0000007072","NBNSYS0000007072","06-02 to 10-31","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia ahenea","Cheilosia ahenea","NBNSYS0000144219","NBNSYS0000144219","06-27 to 07-01","5: Voucher specimen required to be examined by national expert"
"Cheilosia albipila","Cheilosia albipila","NBNSYS0000006972","NBNSYS0000006972","02-25 to 10-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Cheilosia albitarsis","Cheilosia albitarsis","NBNSYS0000006973","NBNSYS0000006973",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia antiqua","Cheilosia antiqua","NBNSYS0000006974","NBNSYS0000006974","01-24 to 10-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia pubera misident.","Cheilosia antiqua","NBNSYS0100022371","NBNSYS0000006974","04-21 to 08-06",
"Cheilosia barbata","Cheilosia barbata","NBNSYS0000006975","NBNSYS0000006975","05-04 to 09-18","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia bergenstammi","Cheilosia bergenstammi","NBNSYS0000006976","NBNSYS0000006976","02-06 to 11-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia caerulescens","Cheilosia caerulescens","NHMSYS0020978338","NHMSYS0020978338","05-25 to 05-25",
"Cheilosia carbonaria","Cheilosia carbonaria","NBNSYS0000006977","NBNSYS0000006977","04-18 to 09-13","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia chrysocoma","Cheilosia chrysocoma","NBNSYS0000006978","NBNSYS0000006978","03-16 to 06-22","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia cynocephala","Cheilosia cynocephala","NBNSYS0000006979","NBNSYS0000006979","04-30 to 10-04","4: Species needs confirmation from national expert"
"Cheilosia fraterna","Cheilosia fraterna","NBNSYS0000005502","NBNSYS0000005502","02-06 to 12-18","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia griseiventris","Cheilosia griseiventris","NBNSYS0000006981","NBNSYS0000006981","04-01 to 09-21","4: Species needs confirmation from national expert"
"Cheilosia grossa","Cheilosia grossa","NBNSYS0000006982","NBNSYS0000006982","02-28 to 07-31","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Cheilosia illustrata","Cheilosia illustrata","NBNSYS0000006984","NBNSYS0000006984","03-25 to 11-02","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Cheilosia impressa","Cheilosia impressa","NBNSYS0000006985","NBNSYS0000006985","04-02 to 11-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia lasiopa","Cheilosia lasiopa","NBNSYS0100002329","NBNSYS0100002329","04-09 to 09-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Cheilosia latifrons","Cheilosia latifrons","NBNSYS0100002330","NBNSYS0100002330","03-26 to 11-02","4: Species needs confirmation from national expert"
"Cheilosia longula","Cheilosia longula","NBNSYS0000006988","NBNSYS0000006988","04-20 to 10-28","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
