"species","preferred_species_name","tvk","recording_period","flight_period","id_difficulty"
"Aeshna affinis","Aeshna affinis","NHMSYS0020546806","2010-01-01 to present","06-26 to 08-26","4: Males can be identified in the field with care and experience. Female identification only accepted from known recorders or from good photographic evidence or else needs confirmation from a BDS County Dragonfly Recorder."
"Aeshna caerulea","Aeshna caerulea","NBNSYS0000005623",,"05-20 to 08-11","3: Can be identified in the field with care and experience. Needs a good view, preferably with close-focus binoculars. May be identifiable from a good photo, or series of photos showing different angles."
"Aeshna cyanea","Aeshna cyanea","NBNSYS0000005626",,"06-21 to 10-12","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Aeshna grandis","Aeshna grandis","NBNSYS0000005625",,"06-22 to 09-15","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Aeshna juncea","Aeshna juncea","NBNSYS0000005624",,"06-22 to 10-05","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Aeshna mixta","Aeshna mixta","NBNSYS0000005627","1939-01-01 to present","07-21 to 10-19","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Anaciaeschna isoceles","Anaciaeschna isoceles","NHMSYS0021009091",,"05-19 to 07-24",
"Anax ephippiger","Anax ephippiger","NHMSYS0021009098","1903-01-01 to present","04-10 to 01-04","4: Males can be identified in the field with care and experience. Female identification only accepted from known recorders or from good photographic evidence or else needs confirmation from a BDS County Dragonfly Recorder."
"Anax imperator","Anax imperator","NBNSYS0000005630",,"05-25 to 08-27","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Anax junius","Anax junius","NHMSYS0000344168"," to 1800-12-31",,"5: Identification only accepted from known recorders with good photographic evidence or written descriptions. Record requires confirmation from the BDS Odonata Rarities Committee."
"Anax parthenope","Anax parthenope","NHMSYS0000344169","1996-01-01 to present","06-09 to 08-26","3: Can be identified in the field with care and experience. Needs a good view, preferably with close-focus binoculars. May be identifiable from a good photo, or series of photos showing different angles."
"Brachytron pratense","Brachytron pratense","NBNSYS0000005622","1901-01-01 to present","04-27 to 06-27","2: Males can be identified at sight in the field by anyone with a little experience. Females need a good view of the individual, preferably with close-focus binoculars, to check. Both males and females may be identifiable from a good photo, or series of photos showing different angles."
"Calopteryx splendens","Calopteryx splendens","NBNSYS0000005617",,"05-06 to 08-23","4: Males can be identified in the field with care and experience. Female identification only accepted from known recorders or from good photographic evidence or else needs confirmation from a BDS County Dragonfly Recorder."
"Calopteryx virgo","Calopteryx virgo","NBNSYS0000005616","1965-01-01 to present","04-27 to 08-09","4: Males can be identified in the field with care and experience. Female identification only accepted from known recorders or from good photographic evidence or else needs confirmation from a BDS County Dragonfly Recorder."
"Ceriagrion tenellum","Ceriagrion tenellum","NBNSYS0000005611","1965-01-01 to present","06-06 to 08-31","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Coenagrion armatum","Coenagrion armatum","NBNSYS0000005608","1905-01-01 to 1957-12-31",,
"Coenagrion hastulatum","Coenagrion hastulatum","NBNSYS0000005607","1914-01-01 to present","05-08 to 08-12","3: Can be identified in the field with care and experience. Needs a good view, preferably with close-focus binoculars. May be identifiable from a good photo, or series of photos showing different angles."
"Coenagrion lunulatum","Coenagrion lunulatum","NBNSYS0000005609"," to 1800-12-31",,"3: Can be identified in the field with care and experience. Needs a good view, preferably with close-focus binoculars. May be identifiable from a good photo, or series of photos showing different angles."
