"species","preferred_species_name","tvk","rtvk","seasonal_recording_period","additional_checks_required","id_difficulty"
"Andrena alfkenella","Andrena alfkenella","NHMSYS0000875157","NHMSYS0000875157","03-01 to 09-30","1: This is a rare species",
"Andrena (Micrandrena) alfkenella","Andrena alfkenella","NHMSYS0000875107","NHMSYS0000875157",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena angustior","Andrena angustior","NHMSYS0000875161","NHMSYS0000875161","03-01 to 08-31",,
"Andrena (Ptilandrena) angustior","Andrena angustior","NHMSYS0000875135","NHMSYS0000875161",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena apicata","Andrena apicata","NHMSYS0000875162","NHMSYS0000875162","03-01 to 06-30","1: This is a rare species",
"Andrena (Andrena) apicata","Andrena apicata","NHMSYS0000875060","NHMSYS0000875162",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena argentata","Andrena argentata","NHMSYS0000875164","NHMSYS0000875164","06-01 to 09-30","1: This is a rare species",
"Andrena (Leucandrena) argentata","Andrena argentata","NHMSYS0000875094","NHMSYS0000875164",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena barbilabris","Andrena barbilabris","NHMSYS0000875170","NHMSYS0000875170","03-01 to 09-30",,
"Andrena (Leucandrena) barbilabris","Andrena barbilabris","NHMSYS0000875095","NHMSYS0000875170",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena bicolor","Andrena bicolor","NHMSYS0000875171","NHMSYS0000875171","02-01 to 09-30",,
"Andrena (Euandrena) bicolor","Andrena bicolor","NHMSYS0000875082","NHMSYS0000875171",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena bimaculata","Andrena bimaculata","NHMSYS0000875172","NHMSYS0000875172","02-01 to 08-31",,
"Andrena (Plastandrena) bimaculata","Andrena bimaculata","NHMSYS0000875124","NHMSYS0000875172",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena bucephala","Andrena bucephala","NHMSYS0000875173","NHMSYS0000875173","03-01 to 06-30",,
"Andrena (Hoplandrena) bucephala","Andrena bucephala","NHMSYS0000875087","NHMSYS0000875173",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena chrysosceles","Andrena chrysosceles","NHMSYS0000875176","NHMSYS0000875176","02-01 to 12-31",,
"Andrena (Notandrena) chrysosceles","Andrena chrysosceles","NHMSYS0000875119","NHMSYS0000875176",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena cineraria","Andrena cineraria","NHMSYS0000875177","NHMSYS0000875177","01-01 to 10-31",,
"Andrena (Melandrena) cineraria","Andrena cineraria","NHMSYS0000875099","NHMSYS0000875177",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Andrena clarkella","Andrena clarkella","NHMSYS0000875179","NHMSYS0000875179","02-01 to 08-31",,
"Andrena (Andrena) clarkella","Andrena clarkella","NHMSYS0000875061","NHMSYS0000875179",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
