"species","preferred_species_name","tvk","recording_period","flight_period","id_difficulty"
"Carterocephalus palaemon","Carterocephalus palaemon","NHMSYS0000501644","1700-01-01 to present","05-01 to 07-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Erynnis tages","Erynnis tages","NHMSYS0000550499","1700-01-01 to present","04-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Hesperia comma","Hesperia comma","NHMSYS0000502853","1700-01-01 to present","07-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Heteropterus morpheus","Heteropterus morpheus","NHMSYS0000515916","1700-01-01 to present","07-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Ochlodes sylvanus","Ochlodes sylvanus","NHMSYS0021143464","1700-01-01 to present","05-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Pyrgus malvae","Pyrgus malvae","NHMSYS0000504013","1700-01-01 to present","04-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Thymelicus acteon","Thymelicus acteon","NHMSYS0000504513","1700-01-01 to present","05-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Thymelicus lineola","Thymelicus lineola","NHMSYS0000504514","1889-01-01 to present","06-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Thymelicus sylvestris","Thymelicus sylvestris","NHMSYS0000504515","1700-01-01 to present","06-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Aricia agestis","Aricia agestis","NHMSYS0021143605","1700-01-01 to present","04-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Aricia artaxerxes","Aricia artaxerxes","NHMSYS0000516231","1700-01-01 to present","05-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Cacyreus marshalli","Cacyreus marshalli","NBNSYS0100002143","1997-01-01 to present","01-01 to 12-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Callophrys rubi","Callophrys rubi","NHMSYS0000501598","1700-01-01 to present","03-01 to 07-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Celastrina argiolus","Celastrina argiolus","NHMSYS0000516260","1700-01-01 to present","03-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Cupido argiades","Cupido argiades","NHMSYS0020825929","1700-01-01 to present","07-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Cupido minimus","Cupido minimus","NHMSYS0000502045","1700-01-01 to present","04-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Cyaniris semiargus","Cyaniris semiargus","NHMSYS0000502047","1700-01-01 to 1904-01-01","06-01 to 07-31","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Favonius quercus","Favonius quercus","NHMSYS0021002801","1700-01-01 to present","06-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Lampides boeticus","Lampides boeticus","NHMSYS0000502994","1700-01-01 to present","01-01 to 12-31","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Lycaena dispar","Lycaena dispar","NHMSYS0000516450","1700-01-01 to 1864-01-01","07-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Lycaena phlaeas","Lycaena phlaeas","NHMSYS0000516465","1700-01-01 to present","03-01 to 11-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Maculinea arion","Maculinea arion","NHMSYS0000516485",,"06-01 to 08-31",
"Phengaris arion","Maculinea arion","NHMSYS0020757917","1700-01-01 to present",,"1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Plebejus argus","Plebejus argus","NBNSYS0000005539","1700-01-01 to present","05-01 to 08-31","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Polyommatus bellargus","Polyommatus bellargus","NHMSYS0021143616","1700-01-01 to present","04-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Polyommatus coridon","Polyommatus coridon","NHMSYS0020825965","1700-01-01 to present","06-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Polyommatus icarus","Polyommatus icarus","NHMSYS0000516660","1700-01-01 to present","04-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Satyrium pruni","Satyrium pruni","NHMSYS0000504084","1700-01-01 to present","06-01 to 07-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Satyrium w-album","Satyrium w-album","NHMSYS0000504085","1700-01-01 to present","06-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Thecla betulae","Thecla betulae","NHMSYS0000504486","1700-01-01 to present","07-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Aglais io","Aglais io","NHMSYS0021143568","1700-01-01 to present","01-01 to 12-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Aglais urticae","Aglais urticae","NHMSYS0000501034","1700-01-01 to present","01-01 to 12-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Apatura iris","Apatura iris","NHMSYS0000501116","1700-01-01 to present","06-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Aphantopus hyperantus","Aphantopus hyperantus","NHMSYS0000501120","1700-01-01 to present","06-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Araschnia levana","Araschnia levana","NHMSYS0000501166","1700-01-01 to present","04-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
