"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","additional_checks_required","id_difficulty"
"Apatania muliebris","Apatania muliebris","NBNSYS0000008439","1864-01-01 to present","03-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Apatania wallengreni","Apatania wallengreni","NBNSYS0000008441","1862-01-01 to present","03-01 to 07-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraea maurus","Beraea maurus","NBNSYS0000008501","1835-01-01 to present","04-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraea pullata","Beraea pullata","NBNSYS0000008502","1835-01-01 to present","04-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraeidae","Beraeidae","NBNSYS0000159496",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraeodes minutus","Beraeodes minutus","NBNSYS0000008503","1865-01-01 to present","05-01 to 08-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ernodes articularis","Ernodes articularis","NBNSYS0000008504","1900-01-01 to present","10-01 to 11-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Brachycentrus subnubilus","Brachycentrus subnubilus","NBNSYS0000008433","1836-01-01 to present","03-01 to 06-30",,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Ecnomus tenellus","Ecnomus tenellus","NBNSYS0000008397","1860-01-01 to present","04-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus delicatulus","Agapetus delicatulus","NBNSYS0000008346","1862-01-01 to present","06-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus fuscipes","Agapetus fuscipes","NBNSYS0000008347","1835-01-01 to present",,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus ochripes","Agapetus ochripes","NBNSYS0000008348","1860-01-01 to present","04-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma boltoni","Glossosoma boltoni","NBNSYS0000008343","1835-01-01 to present","03-01 to 11-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma conformis","Glossosoma conformis","NBNSYS0000008344","1857-01-01 to present","04-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma intermedium","Glossosoma intermedium","NBNSYS0000008345","1925-01-01 to 2003-12-31","04-01 to 05-31","1: This is a rare species","3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Goera pilosa","Goera pilosa","NHMSYS0020704791","1836-01-01 to present","05-01 to 09-30",,"2: Can be identified with experience.  Identifiable by expert from photos"
"Goeridae","Goeridae","NBNSYS0000042269",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Silo nigricornis","Silo nigricornis","NBNSYS0000008499","1859-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Silo pallipes","Silo pallipes","NHMSYS0020704837","1836-01-01 to present","04-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Cheumatopsyche lepida","Cheumatopsyche lepida","NBNSYS0000008412","1836-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Diplectrona felix","Diplectrona felix","NBNSYS0000008422","1836-01-01 to present","02-01 to 09-30",,"2: Can be identified with experience.  Identifiable by expert from photos"
"Hydropsyche","Hydropsyche","NHMSYS0020704798",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche angustipennis","Hydropsyche angustipennis","NBNSYS0000008413","1836-01-01 to present","05-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche bulgaromanorum","Hydropsyche bulgaromanorum","NBNSYS0000008414","1836-01-01 to present","07-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche contubernalis","Hydropsyche contubernalis","NBNSYS0000008415","1862-01-01 to present","04-01 to 10-31","2: Records for this species must always be verified (rarity, new arrivals)","4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydropsyche exocellata","Hydropsyche exocellata","NBNSYS0000008416","1862-01-01 to 1903-12-31","05-01 to 09-30",,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydropsyche fulvipes","Hydropsyche fulvipes","NBNSYS0000008417","1836-01-01 to present","05-01 to 08-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche instabilis","Hydropsyche instabilis","NBNSYS0000008418","1840-01-01 to present","04-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche pellucidula","Hydropsyche pellucidula","NBNSYS0000008419","1836-01-01 to present","04-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche saxonica","Hydropsyche saxonica","NBNSYS0000008420",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche siltalai","Hydropsyche siltalai","NBNSYS0000008421","1861-01-01 to present","03-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsychidae","Hydropsychidae","NBNSYS0000042280",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agraylea multipunctata","Agraylea multipunctata","NBNSYS0000008349","1858-01-01 to present","04-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agraylea sexmaculata","Agraylea sexmaculata","NBNSYS0000008350","1860-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Allotrichia pallicornis","Allotrichia pallicornis","NBNSYS0000008351","1874-01-01 to present","05-01 to 08-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila angulata","Hydroptila angulata","NBNSYS0000008352","1913-01-01 to present","06-01 to 10-31","2: Records for this species must always be verified (rarity, new arrivals)","3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila cornuta","Hydroptila cornuta","NBNSYS0000008353","1915-01-01 to present","06-01 to 08-31","2: Records for this species must always be verified (rarity, new arrivals)","4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila forcipata","Hydroptila forcipata","NBNSYS0000008354","1874-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
