"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","additional_checks_required","id_difficulty"
"Arcitalitrus dorrieni","Arcitalitrus dorrieni","NBNSYS0000013807",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Anthogona britannica","Anthogona britannica","NHMSYS0000356226","1983-10-18 to present",,"1: This is a rare species","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Anamastigona pulchella","Anamastigona pulchella","NHMSYS0020108462","2011-12-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Brachychaeteuma bagnalli","Brachychaeteuma bagnalli","NBNSYS0000011357","1911-01-01 to present","09-01 to 06-30",,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Brachychaeteuma bradeae","Brachychaeteuma bradeae","NBNSYS0000011358","1917-01-01 to present","09-01 to 06-30",,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Brachychaeteuma melanops","Brachychaeteuma melanops","NHMSYS0020108466","1918-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Chordeuma proximum","Chordeuma proximum","NBNSYS0000011353","1964-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Chordeuma sylvestre","Chordeuma sylvestre","NHMSYS0000356235","1972-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Melogona gallica","Melogona gallica","NBNSYS0000011355","1957-01-01 to present",,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Melogona scutellaris","Melogona scutellaris","NHMSYS0020108475","1916-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
