"organism_key","taxon","start_day","start_month","start_year","end_day","end_month","end_year"
"NBNORG0000008964","Coenagrion mercuriale",1,1,1949,,,
"NBNORG0000008965","Coenagrion scitulum",1,1,1946,,,
"NBNORG0000008966","Coenagrion pulchellum",1,1,1965,,,
"NBNORG0000008968","Coenagrion hastulatum",1,1,1914,,,
"NBNORG0000008969","Coenagrion armatum",1,1,1905,31,12,1957
"NBNORG0000008970","Coenagrion lunulatum",,,,31,12,1800
"NBNORG0000008972","Ceriagrion tenellum",1,1,1965,,,
"NBNORG0000008973","Lestes barbarus",1,1,2002,,,
"NBNORG0000008976","Calopteryx virgo",1,1,1965,,,
"NBNORG0000008978","Sympecma fusca",,,,31,12,1800
"NBNORG0000008979","Stylurus flavipes",,,,31,12,1800
"NBNORG0000008980","Gomphus vulgatissimus",1,1,1951,,,
"NBNORG0000008981","Cordulegaster boltonii",1,1,1953,,,
"NBNORG0000008982","Brachytron pratense",1,1,1901,,,
"NBNORG0000008987","Aeshna mixta",1,1,1939,,,
"NBNORG0000008990","Anax ephippiger",1,1,1903,,,
"NBNORG0000008993","Oxygastra curtisii",,,,31,12,1800
"NBNORG0000008994","Libellula depressa",1,1,1947,,,
"NBNORG0000008995","Libellula fulva",1,1,1965,,,
"NBNORG0000008997","Orthetrum coerulescens",1,1,1955,,,
"NBNORG0000008999","Pantala flavescens",,,,31,12,1800
"NBNORG0000009000","Crocothemis erythraea",,,,31,12,1800
"NBNORG0000009001","Sympetrum vulgatum",,,,31,12,1800
"NBNORG0000009003","Sympetrum meridionale",,,,31,12,1800
"NBNORG0000009004","Sympetrum flaveolum",,,,31,12,1800
"NBNORG0000009005","Sympetrum sanguineum",1,1,1965,,,
"NBNORG0000009006","Sympetrum danae",1,1,1941,,,
"NBNORG0000052147","Anax junius",,,,31,12,1800
"NBNORG0000052148","Anax parthenope",1,1,1996,,,
"NBNORG0000052151","Erythromma viridulum",1,1,1999,,,
"NBNORG0000052154","Orthetrum brunneum",,,,31,12,1800
"NBNORG0000052158","Sympetrum pedemontanum",,,,31,12,1800
"NBNORG0000061169","Ischnura genei",,,,31,12,1800
"NBNORG0000061189","Somatochlora flavomaculata",,,,31,12,1800
"NBNORG0000061199","Leucorrhinia pectoralis",,,,31,12,1800
"NBNORG0000099276","Aeshna affinis",1,1,2010,,,
"NBNORG0000099277","Chalcolestes viridis",1,1,1979,,,
"NBNORG0000099278","Leucorrhinia dubia",1,1,1914,,,
"NBNORG0000116355","Ischnura senegalensis",,,,31,12,1800
"NBNORG0000116356","Crocothemis servilia",,,,31,12,1800
