taxon,tvk,km100,km10,coord_system
Acanthoxyla prasina subsp. geisovii,NHMSYS0001387233,SV,81 91,OSGB
Acanthoxyla prasina subsp. geisovii,NHMSYS0001387233,SW,53 62 64 72 83 84 93,OSGB
Acanthoxyla prasina subsp. geisovii,NHMSYS0001387233,SX,45 55 65 85 86 95 96,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,ST,41,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,SW,33 42 43 53 62 64 72 73 74 75 83 84 86 87 93 94 95 97 98,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,SX,04 05 06 07 08 15 17 55,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,TQ,11,OSGB
Acheta domesticus,NBNSYS0000006827,HY,30 31 32 40 41 42 50 51 52,OSGB
Acheta domesticus,NBNSYS0000006827,NN,70 80 90,OSGB
Acheta domesticus,NBNSYS0000006827,NO,01 02 03 11 12 13 21 22 23,OSGB
Acheta domesticus,NBNSYS0000006827,NS,64 65 66 74 75 76 78 79 84 85 86 88 89 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,NT,16 17 18 26 27 28 36 37 38 84 85 86 94 95 96,OSGB
Acheta domesticus,NBNSYS0000006827,NU,04 05,OSGB
Acheta domesticus,NBNSYS0000006827,NX,30 40 90 91,OSGB
Acheta domesticus,NBNSYS0000006827,NY,00 01 10 11 13 14 15 20 21 23 24 25 26 30 31 33 34 35 36 40 41 44 45 46 47 54 55 56 57 64 65 66 67 95 96 97,OSGB
Acheta domesticus,NBNSYS0000006827,NZ,05 06 07 10 11 12 13 14 15 16 17 20 21 22 23 24 25 30 31 32 33 34 35 40 41 42 50 51 52 60 61 62,OSGB
Acheta domesticus,NBNSYS0000006827,SC,28 37 38 39 47 48 49,OSGB
Acheta domesticus,NBNSYS0000006827,SD,08 09 18 19 20 21 23 24 29 30 31 32 33 34 35 36 39 40 41 42 43 44 45 46 49 50 51 52 53 54 55 56 60 61 62 63 70 71 72 73 74 75 80 81 82 83 84 85 90 91 92 93 94 95,OSGB
Acheta domesticus,NBNSYS0000006827,SE,00 01 02 03 04 05 10 11 12 13 14 15 20 21 22 23 24 25 26 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 62 64 65 66 70 71 72 74 75 76 80 81 90 91 92 93 94,OSGB
Acheta domesticus,NBNSYS0000006827,SH,12 13 22 23 24 27 28 32 33 34 36 37 38 43 44 46 47 48 52 53 54 62 63 64,OSGB
Acheta domesticus,NBNSYS0000006827,SJ,16 17 18 19 20 21 22 25 26 27 28 29 30 31 32 35 36 37 38 39 40 41 42 45 46 47 48 49 50 55 56 57 58 59 66 67 68 69 73 74 75 76 77 78 79 80 81 83 84 85 87 88 89 90 91 93 94 95 97 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,SK,00 01 07 08 09 10 11 20 21 22 23 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 79 80 81 82 83 86 87 88 89 90 91 93 94 95 96 97 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,SM,80 81 90 91,OSGB
Acheta domesticus,NBNSYS0000006827,SN,00 01 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 53 54 55 56 57 58 59 60 64 65 66 67 68 69 74 75 76 77 78 79 90,OSGB
Acheta domesticus,NBNSYS0000006827,SO,00 10 20 38 39 40 41 48 49 50 51 58 59 60 61 66 67 68 70 71 74 75 76 77 78 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,SP,01 02 03 04 05 06 07 08 09 13 14 15 16 17 18 19 20 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 58 59 60 61 62 63 64 68 69 70 71 72 73 74 75 78 79 80 81 82 83 84 85 88 89 90 91 92 93 94 95 96 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,SR,89 99,OSGB
Acheta domesticus,NBNSYS0000006827,SS,09 39 48 49 58 59 68 69 77 78 79 80 83 84 87 88 89 90 93 94 97 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,ST,00 03 04 06 07 08 09 12 13 14 16 17 18 19 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 56 57 58 59 60 65 66 67 68 69 70 71 72 73 75 76 77 78 79 81 82 83 85 86 87 89 91 92 93 94 95 96 97 99,OSGB
Acheta domesticus,NBNSYS0000006827,SU,00 02 03 04 05 10 12 13 14 15 20 21 22 23 24 25 28 29 30 31 32 37 38 39 40 41 42 44 45 46 47 48 49 50 51 52 54 55 56 57 58 59 60 61 64 65 66 67 68 69 70 71 74 75 76 77 78 79 80 81 83 84 85 86 87 88 89 90 91 93 94 95 96 97 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,SV,80 81 90 91,OSGB
Acheta domesticus,NBNSYS0000006827,SW,42 43 44 52 53 54 62 63 64 72 73 74 75 82 83 84 85 93 94 95,OSGB
Acheta domesticus,NBNSYS0000006827,SX,05 06 07 14 15 16 17 25 26 27 35 36 44 45 46 54 55 56 64 65 66 74 75 76 77 85 86 87 88 89 95 96 97 98 99,OSGB
