"organism_key","taxon","stage","code"
"NBNORG0000020645","Lipara lucens","mature",2
"NBNORG0000020646","Lipara rufitarsis","mature",4
"NBNORG0000020647","Lipara similis","mature",2
"NBNORG0000020648","Calamoncosis aprica","mature",4
"NBNORG0000020649","Calamoncosis aspistylina","mature",4
"NBNORG0000020650","Calamoncosis duinensis","mature",4
"NBNORG0000020651","Calamoncosis glyceriae","mature",4
"NBNORG0000020652","Calamoncosis minima","mature",4
"NBNORG0000020653","Siphonella oscinina","mature",3
"NBNORG0000020654","Polyodaspis ruficornis","mature",3
"NBNORG0000020655","Polyodaspis sulcicollis","mature",3
"NBNORG0000020658","Trachysiphonella scutellata","mature",5
"NBNORG0000020659","Trachysiphonella pygmaea","mature",5
"NBNORG0000020660","Trachysiphonella ruficeps","mature",5
"NBNORG0000020661","Siphunculina aenea","mature",3
"NBNORG0000020666","Colliniella meijerei","mature",3
"NBNORG0000020667","Aphanotrigonum nigripes agg.","mature",3
"NBNORG0000020669","Conioscinella frontella","mature",4
"NBNORG0000020670","Conioscinella gallarum","mature",3
"NBNORG0000020671","Speccafrons halophila","mature",3
"NBNORG0000020672","Conioscinella mimula","mature",4
"NBNORG0000020673","Conioscinella sordidella","mature",3
"NBNORG0000020674","Conioscinella zetterstedti","mature",3
"NBNORG0000020675","Tricimba cincta","mature",3
"NBNORG0000020676","Tricimba lineella","mature",3
"NBNORG0000020677","Dicraeus fennicus","mature",3
"NBNORG0000020678","Dicraeus ingratus","mature",3
"NBNORG0000020679","Dicraeus napaeus","mature",3
"NBNORG0000020680","Dicraeus raptus","mature",3
"NBNORG0000020681","Dicraeus scibilis","mature",3
"NBNORG0000020682","Dicraeus styriacus","mature",3
"NBNORG0000020683","Dicraeus tibialis","mature",3
"NBNORG0000020684","Dicraeus vagans","mature",3
"NBNORG0000020686","Gaurax niger","mature",4
"NBNORG0000020688","Eribolus gracilior","mature",3
"NBNORG0000020689","Eribolus hungaricus","mature",3
"NBNORG0000020690","Eribolus slesvicensis","mature",3
"NBNORG0000020691","Incertella albipalpis","mature",3
"NBNORG0000020692","Incertella scotica","mature",4
"NBNORG0000020693","Oscinella angularis","mature",4
"NBNORG0000020694","Oscinella angustipennis","mature",5
"NBNORG0000020695","Oscinella cariciphila","mature",4
"NBNORG0000020696","Oscinella frit","mature",4
"NBNORG0000020697","Oscinella vindicata","mature",4
"NBNORG0000020698","Oscinella maura","mature",3
"NBNORG0000020699","Oscinella nigerrima","mature",4
"NBNORG0000020700","Oscinella nitidissima","mature",3
"NBNORG0000020701","Oscinella pusilla","mature",4
"NBNORG0000020702","Oscinella trochanterata","mature",3
"NBNORG0000020703","Oscinella vastator","mature",4
"NBNORG0000020704","Rhopalopterum atricilla","mature",3
"NBNORG0000020705","Rhopalopterum fasciola","mature",4
"NBNORG0000020706","Elachiptera brevipennis","mature",2
"NBNORG0000020707","Elachiptera cornuta agg.","mature",4
"NBNORG0000020709","Elachiptera diastema","mature",3
"NBNORG0000020710","Elachiptera megaspis","mature",3
"NBNORG0000020711","Elachiptera rufifrons","mature",3
"NBNORG0000020712","Elachiptera scrobiculata","mature",3
"NBNORG0000020713","Elachiptera tuberculifera","mature",3
"NBNORG0000020714","Oscinella capreolus","mature",3
"NBNORG0000020715","Camarota curvipennis","mature",1
"NBNORG0000020716","Platycephala planifrons","mature",2
"NBNORG0000020717","Platycephala umbraculata","mature",2
"NBNORG0000020718","Meromyza bohemica","mature",4
"NBNORG0000020719","Meromyza curvinervis","mature",4
"NBNORG0000020721","Meromyza femorata agg.","mature",3
"NBNORG0000020722","Meromyza hispanica","mature",4
"NBNORG0000020724","Meromyza mosquensis","mature",4
"NBNORG0000020725","Meromyza nigriventris agg.","mature",3
"NBNORG0000020727","Meromyza palposa","mature",4
"NBNORG0000020728","Meromyza pluriseta","mature",4
"NBNORG0000020729","Meromyza pratorum agg.","mature",3
"NBNORG0000020730","Meromyza rufa","mature",4
"NBNORG0000020731","Meromyza saltatrix agg.","mature",3
"NBNORG0000020732","Meromyza triangulina","mature",4
"NBNORG0000020733","Meromyza athletica","mature",4
"NBNORG0000020734","Eurina lurida","mature",2
"NBNORG0000020735","Cryptonevra consimilis","mature",5
"NBNORG0000020736","Cryptonevra flavitarsis","mature",5
"NBNORG0000020737","Cryptonevra nigritarsis","mature",3
"NBNORG0000020739","Pseudopachychaeta approximatonervis","mature",4
"NBNORG0000020741","Pseudopachychaeta oscinina","mature",4
"NBNORG0000020742","Pseudopachychaeta ruficeps","mature",3
"NBNORG0000020743","Diplotoxa messoria","mature",3
"NBNORG0000020744","Melanum laterale","mature",3
"NBNORG0000020745","Eutropha fulvifrons","mature",3
"NBNORG0000020746","Cetema cereris","mature",3
"NBNORG0000020747","Epichlorops puncticollis","mature",3
"NBNORG0000020750","Chlorops gracilis","mature",3
"NBNORG0000020751","Chlorops hypostigma","mature",3
"NBNORG0000020752","Chlorops planifrons","mature",3
"NBNORG0000020753","Chlorops ringens","mature",3
"NBNORG0000020754","Chlorops pumilionis","mature",3
"NBNORG0000020755","Chlorops scalaris","mature",3
"NBNORG0000020756","Chlorops troglodytes","mature",3
"NBNORG0000020757","Chlorops varsoviensis","mature",3
"NBNORG0000020759","Thaumatomyia hallandica","mature",3
"NBNORG0000020760","Thaumatomyia notata","mature",3
"NBNORG0000020761","Thaumatomyia rufa","mature",3
"NBNORG0000020762","Thaumatomyia trifasciata","mature",3
"NBNORG0000026779","Cryptonevra diadema","mature",3
"NBNORG0000041114","Aphanotrigonum brunneum","mature",3
"NBNORG0000041115","Aphanotrigonum cinctellum","mature",3
"NBNORG0000041116","Aphanotrigonum femorellum","mature",3
"NBNORG0000041117","Aphanotrigonum inerme","mature",3
"NBNORG0000041118","Aphanotrigonum trilineatum","mature",2
"NBNORG0000041426","Cetema elongatum","mature",4
"NBNORG0000041427","Cetema myopinum","mature",3
"NBNORG0000041428","Cetema neglectum","mature",3
"NBNORG0000041429","Cetema simile","mature",4
"NBNORG0000041430","Cetema transversum","mature",5
"NBNORG0000041491","Chlorops adjunctus","mature",4
"NBNORG0000041492","Chlorops calceatus","mature",4
"NBNORG0000041494","Chlorops dasycerus","mature",5
"NBNORG0000041495","Chlorops fasciatus","mature",4
"NBNORG0000041496","Chlorops frontosus","mature",3
"NBNORG0000041497","Chlorops interruptus","mature",3
"NBNORG0000041498","Chlorops laetus","mature",3
"NBNORG0000041499","Chlorops limbatus","mature",3
"NBNORG0000041501","Chlorops obscurellus","mature",4
"NBNORG0000041502","Chlorops rossicus","mature",4
"NBNORG0000041503","Chlorops rufinus","mature",3
"NBNORG0000041504","Chlorops scutellaris","mature",3
"NBNORG0000041505","Chlorops serenus","mature",3
"NBNORG0000041506","Chlorops speciosus","mature",4
"NBNORG0000041507","Chlorops strigulus","mature",3
