"organism_key","taxon","code"
"NBNORG0000020646","Lipara rufitarsis",4
"NBNORG0000020647","Lipara similis",2
"NBNORG0000020649","Calamoncosis aspistylina",1
"NBNORG0000020654","Polyodaspis ruficornis",11
"NBNORG0000020655","Polyodaspis sulcicollis",2
"NBNORG0000020659","Trachysiphonella pygmaea",4
"NBNORG0000020661","Siphunculina aenea",2
"NBNORG0000020666","Colliniella meijerei",2
"NBNORG0000020674","Conioscinella zetterstedti",6
"NBNORG0000020686","Gaurax niger",3
"NBNORG0000020694","Oscinella angustipennis",4
"NBNORG0000020717","Platycephala umbraculata",2
"NBNORG0000020719","Meromyza curvinervis",1
"NBNORG0000020722","Meromyza hispanica",1
"NBNORG0000020724","Meromyza mosquensis",2
"NBNORG0000020735","Cryptonevra consimilis",2
"NBNORG0000041426","Cetema elongatum",5
"NBNORG0000041427","Cetema myopinum",8
"NBNORG0000041429","Cetema simile",5
"NBNORG0000041430","Cetema transversum",6
"NBNORG0000041494","Chlorops dasycerus",12
"NBNORG0000041502","Chlorops rossicus",2
"NBNORG0000041504","Chlorops scutellaris",3
"NBNORG0000041508","Chloropsina pulicaria",1
"NBNORG0000041509","Chloropsina varleyi",1
"NBNORG0000042042","Gampsocera numerata",3
"NBNORG0000042044","Gaurax flavomaculatus",1
"NBNORG0000042260","Lasiambia coxalis",1
"NBNORG0000042262","Lasiambia parcepilosa",3
"NBNORG0000042483","Meromyza virescens",4
"NBNORG0000043134","Rhopalopterum brunneipenne",1
"NBNORG0000043135","Rhopalopterum crucicarinatum",1
"NBNORG0000043518","Trachysiphonella indet.",11
"NBNORG0000043534","Tricimba brachyptera",2
"NBNORG0000043535","Tricimba humeralis",1
"NBNORG0000045690","Lasiosina chandleri",1
"NBNORG0000045730","Diplotoxoides dalmatina",1
"NBNORG0000106714","Oscinimorpha sp. nov.",9
"NBNORG0000108266","Parectecephala longicornis",10
"NBNORG0000109015","Gaurax maculipennis",7
"NBNORG0000109016","Meromyza rohdendorfi",1
"NBNORG0000109018","Oscinella ventricosi",7
"NBNORG0000109020","Homalura tarsata",1
"NBNORG0000109024","Lipara pullitarsis",7
"NBNORG0000109030","Elachiptera sp. nr cornuta",4
