tvk,start_day,start_month,start_year,end_day,end_month,end_year,allow_org_key,rtvk,organism_key,taxon
NBNSYS0000008608,1,1,1885,,,,allow,NBNSYS0000008608,NBNORG0000010760,Atypus affinis
NBNSYS0000189355,1,1,1900,31,12,2000,allow,NBNSYS0000189355,NBNORG0000010761,Eresus sandaliatus
NBNSYS0000008610,1,1,1858,,,,allow,NBNSYS0000008610,NBNORG0000010762,Amaurobius fenestralis
NBNSYS0000008611,1,1,1893,,,,allow,NBNSYS0000008611,NBNORG0000010763,Amaurobius similis
NBNSYS0000008612,1,1,1847,,,,allow,NBNSYS0000008612,NBNORG0000010764,Amaurobius ferox
NBNSYS0000008613,1,1,1858,,,,allow,NBNSYS0000008613,NBNORG0000010765,Dictyna arundinacea
NBNSYS0000008614,1,1,1909,,,,allow,NBNSYS0000008614,NBNORG0000010766,Dictyna pusilla
NBNSYS0000008615,1,1,1893,31,12,1998,allow,NBNSYS0000008615,NBNORG0000010767,Dictyna major
NBNSYS0000008616,1,1,1886,,,,allow,NBNSYS0000008616,NBNORG0000010768,Dictyna uncinata
NBNSYS0000008617,1,1,1882,,,,allow,NHMSYS0021453572,NBNORG0000010769,Brigittea latens
NBNSYS0000008618,1,1,1909,,,,allow,NBNSYS0000008618,NBNORG0000010770,Nigma puella
NBNSYS0000008620,1,1,1900,,,,allow,NBNSYS0000008620,NBNORG0000010772,Nigma walckenaeri
NBNSYS0000008621,1,1,1890,,,,allow,NBNSYS0000008621,NBNORG0000010773,Lathys humilis
NBNSYS0000008622,1,1,1980,31,12,1984,,NHMSYS0021453577,NBNORG0000010774,Lathys heterophthalma
NBNSYS0000008623,1,1,1900,,,,allow,NBNSYS0000008623,NBNORG0000010775,Lathys stigmatisata
NBNSYS0000008624,1,1,1900,,,,allow,NBNSYS0000008624,NBNORG0000010776,Argenna subnigra
NBNSYS0000008625,1,1,1900,,,,allow,NBNSYS0000008625,NBNORG0000010777,Argenna patula
NBNSYS0000008626,1,1,1880,31,12,1971,allow,NBNSYS0000008626,NBNORG0000010778,Altella lucida
NBNSYS0000008627,1,1,1800,,,,allow,NBNSYS0000008627,NBNORG0000010779,Uloborus walckenaerius
NBNSYS0000008628,1,1,1800,,,,allow,NBNSYS0000008628,NBNORG0000010780,Hyptiotes paradoxus
NBNSYS0000008629,1,1,1858,,,,allow,NBNSYS0000008629,NBNORG0000010781,Oonops pulcher
NBNSYS0000008630,1,1,1900,,,,allow,NBNSYS0000008630,NBNORG0000010782,Oonops domesticus
NBNSYS0000008631,1,1,1886,,,,allow,NBNSYS0000008631,NBNORG0000010783,Dysdera erythrina
NBNSYS0000008632,1,1,1889,,,,allow,NBNSYS0000008632,NBNORG0000010784,Dysdera crocata
NBNSYS0000008633,1,1,1858,,,,allow,NBNSYS0000008633,NBNORG0000010785,Harpactea hombergi
NBNSYS0000008635,1,1,1858,,,,allow,NBNSYS0000008635,NBNORG0000010786,Segestria senoculata
NBNSYS0000008636,1,1,1900,,,,allow,NBNSYS0000008636,NBNORG0000010787,Segestria bavarica
NBNSYS0000008637,1,1,1900,,,,allow,NBNSYS0000008637,NBNORG0000010788,Segestria florentina
NBNSYS0000008638,1,1,1900,,,,allow,NBNSYS0000008638,NBNORG0000010789,Scytodes thoracica
NBNSYS0000008639,1,1,1864,,,,allow,NBNSYS0000008639,NBNORG0000010790,Pholcus phalangioides
NBNSYS0000008640,1,1,1938,,,,allow,NBNSYS0000008640,NBNORG0000010791,Psilochorus simoni
NBNSYS0000008641,1,1,1985,,,,allow,NBNSYS0000008641,NBNORG0000010792,Zodarion italicum
NBNSYS0000008642,1,1,1872,,,,allow,NBNSYS0000008642,NBNORG0000010793,Drassodes lapidosus
NBNSYS0000008643,1,1,1858,,,,allow,NBNSYS0000008643,NBNORG0000010794,Drassodes cupreus
NBNSYS0000008644,1,1,1894,,,,allow,NBNSYS0000008644,NBNORG0000010795,Drassodes pubescens
NBNSYS0000008645,1,1,1872,,,,allow,NBNSYS0000008645,NBNORG0000010796,Haplodrassus signifer
NBNSYS0000008646,1,1,1944,,,,allow,NBNSYS0000008646,NBNORG0000010797,Haplodrassus dalmatensis
NBNSYS0000008647,1,1,1800,31,12,1990,allow,NBNSYS0000008647,NBNORG0000010798,Haplodrassus umbratilis
NBNSYS0000008648,1,1,1900,,,,allow,NBNSYS0000008648,NBNORG0000010799,Haplodrassus soerenseni
NBNSYS0000008649,1,1,1833,,,,allow,NBNSYS0000008649,NBNORG0000010800,Haplodrassus silvestris
NBNSYS0000008650,1,1,1800,,,,allow,NBNSYS0000008650,NBNORG0000010801,Haplodrassus minor
NBNSYS0000008651,1,1,1861,,,,allow,NBNSYS0000008651,NBNORG0000010802,Scotophaeus blackwalli
NBNSYS0000008652,1,1,1989,31,12,2001,allow,NBNSYS0000008652,NBNORG0000010803,Scotophaeus scutulatus
NBNSYS0000008653,1,1,1900,,,,allow,NBNSYS0000008653,NBNORG0000010804,Phaeocedus braccatus
NBNSYS0000008654,1,1,1895,,,,allow,NBNSYS0000008654,NBNORG0000010805,Zelotes electus
NBNSYS0000008655,1,1,1900,,,,allow,NBNSYS0000008655,NBNORG0000010806,Zelotes latreillei
NBNSYS0000008657,1,1,1909,,,,allow,NBNSYS0000008657,NBNORG0000010807,Zelotes longipes
NBNSYS0000008658,1,1,1900,,,,allow,NBNSYS0000008658,NBNORG0000010808,Zelotes petrensis
NBNSYS0000008659,1,1,1953,,,,allow,NBNSYS0000008659,NBNORG0000010809,Zelotes subterraneus
NBNSYS0000008660,1,1,1890,,,,allow,NBNSYS0000008660,NBNORG0000010810,Trachyzelotes pedestris
NBNSYS0000008661,1,1,1886,31,12,1994,allow,NBNSYS0000008661,NBNORG0000010811,Urozelotes rusticus
NBNSYS0000008662,1,1,1925,,,,allow,NBNSYS0000008662,NBNORG0000010812,Drassyllus lutetianus
NBNSYS0000008663,1,1,1861,,,,allow,NBNSYS0000008663,NBNORG0000010813,Drassyllus pusillus
NBNSYS0000008664,1,1,1944,,,,allow,NBNSYS0000008664,NBNORG0000010814,Drassyllus praeficus
NBNSYS0000008665,1,1,1900,,,,allow,NBNSYS0000008665,NBNORG0000010815,Gnaphosa lugubris
NBNSYS0000008666,1,1,1922,,,,allow,NBNSYS0000008666,NBNORG0000010816,Gnaphosa occidentalis
NBNSYS0000008667,1,1,1875,,,,allow,NBNSYS0000008667,NBNORG0000010817,Gnaphosa leporina
NBNSYS0000008668,1,1,1969,31,12,2002,allow,NBNSYS0000008668,NBNORG0000010818,Callilepis nocturna
NBNSYS0000008669,1,1,1833,,,,,NHMSYS0021453632,NBNORG0000010819,Micaria pulicaria sens. lat.
NBNSYS0000008671,1,1,1800,31,12,2002,allow,NBNSYS0000008671,NBNORG0000010820,Micaria alpina
NBNSYS0000008672,1,1,1800,,,,allow,NBNSYS0000008672,NBNORG0000010821,Micaria subopaca
NBNSYS0000008673,1,1,1800,,,,allow,NBNSYS0000008673,NBNORG0000010822,Micaria silesiaca
NBNSYS0000008674,1,1,1861,,,,allow,NBNSYS0000008674,NBNORG0000010823,Clubiona corticalis
NBNSYS0000008676,1,1,1913,,,,allow,NBNSYS0000008676,NBNORG0000010825,Clubiona subsultans
NBNSYS0000008677,1,1,1858,,,,allow,NBNSYS0000008677,NBNORG0000010826,Clubiona stagnatilis
NBNSYS0000008678,1,1,1951,,,,allow,NBNSYS0000008678,NBNORG0000010827,Clubiona rosserae
NBNSYS0000008679,1,1,1897,,,,allow,NBNSYS0000008679,NBNORG0000010828,Clubiona norvegica
NBNSYS0000008680,1,1,1898,31,12,2002,allow,NBNSYS0000008680,NBNORG0000010829,Clubiona caerulescens
NBNSYS0000008681,1,1,1861,,,,allow,NBNSYS0000008681,NBNORG0000010830,Clubiona pallidula
NBNSYS0000008682,1,1,1872,,,,allow,NBNSYS0000008682,NBNORG0000010831,Clubiona phragmitis
NBNSYS0000008683,1,1,1858,,,,allow,NBNSYS0000008683,NBNORG0000010832,Clubiona terrestris
NBNSYS0000008686,1,1,1896,,,,allow,NBNSYS0000008686,NBNORG0000010834,Clubiona lutescens
NBNSYS0000008687,1,1,1858,,,,allow,NBNSYS0000008687,NBNORG0000010835,Clubiona comta
NBNSYS0000008688,1,1,1858,,,,allow,NBNSYS0000008688,NBNORG0000010836,Clubiona brevipes
NBNSYS0000008689,1,1,1893,,,,allow,NBNSYS0000008689,NBNORG0000010837,Clubiona trivialis
